distance,Raw,Median+Gaussian,Huber MRF lambda=0.1,Huber MRF lambda=1,Huber MRF lambda=10,derivative:Raw,derivative:Median+Gaussian,derivative:Huber MRF lambda=0.1,derivative:Huber MRF lambda=1,derivative:Huber MRF lambda=10,abs_derivative:Raw,abs_derivative:Median+Gaussian,abs_derivative:Huber MRF lambda=0.1,abs_derivative:Huber MRF lambda=1,abs_derivative:Huber MRF lambda=10
35,43408.0,43018.45734393674,43408.00000008531,43408.00083641982,43407.99137872471,1016.0,546.2152358508538,1015.9999999216307,1015.9986084580123,1001.8383313514969,1016.0,546.2152358508538,1015.9999999216307,1015.9986084580123,1001.8383313514969
36,44400.0,43557.81345410961,44399.99999971716,44399.996674068716,44371.71096141409,776.0,524.7124851899134,776.0000002131892,776.0025541888172,683.4909571595163,776.0,524.7124851899134,776.0000002131892,776.0025541888172,683.4909571595163
37,44960.0,44067.882314316565,44960.00000051169,44960.005944797456,44774.973293043746,560.0,488.98913769271167,559.999999919386,559.99915949352,394.01099628183874,560.0,488.98913769271167,559.999999919386,559.99915949352,394.01099628183874
38,45520.0,44535.79172949503,45519.999999555934,45519.994993055756,45159.73295397777,648.0,442.00526568084024,642.7398383003492,578.4566169344398,366.7463086329117,648.0,442.00526568084024,642.7398383003492,578.4566169344398,366.7463086329117
39,46256.0,44951.892845678245,46245.47967711239,46116.919178666336,45508.46591030957,528.0,387.1315544591598,513.1839131330053,431.9665012995465,311.35625184727905,528.0,387.1315544591598,513.1839131330053,431.9665012995465,311.35625184727905
40,46576.0,45310.05483841335,46546.367825821944,46383.92799565485,45782.44545767233,168.0,327.9072549864941,152.72727781927097,170.97281481593382,234.30182024637907,168.0,327.9072549864941,152.72727781927097,170.97281481593382,234.30182024637907
41,46592.0,45607.70735565123,46550.93423275093,46458.8648082982,45977.06955080233,-264.0,267.7823249985995,-208.57478320232258,8.369216792460065,163.87757067011262,264.0,267.7823249985995,208.57478320232258,8.369216792460065,163.87757067011262
42,46048.0,45845.61948841055,46129.2182594173,46400.66642923977,46110.200599012554,160.0,209.90698529721703,160.89689021662707,118.13483556145002,136.24107816085234,160.0,209.90698529721703,160.89689021662707,118.13483556145002,136.24107816085234
43,46912.0,46027.52132624567,46872.72801318418,46695.1344794211,46249.55170712403,416.0,156.9574518330046,378.4406071100202,186.03528989188635,106.2286934676813,416.0,156.9574518330046,378.4406071100202,186.03528989188635,106.2286934676813
44,46880.0,46159.53439207656,46886.09947363734,46772.73700902354,46322.65798594792,48.0,110.96567676054474,43.868828639871936,23.971034114209033,45.23917812128275,48.0,110.96567676054474,43.868828639871936,23.971034114209033,45.23917812128275
45,47008.0,46249.45267976676,46960.46567046393,46743.07654764952,46340.0300633666,-160.0,73.22795691411011,-163.30545085378617,-162.1221875492556,-16.026419412992254,160.0,73.22795691411011,163.30545085378617,162.1221875492556,16.026419412992254
46,46560.0,46305.99030590478,46559.48857192977,46448.49263392503,46290.60514712193,-720.0,44.26240015732765,-660.5993109914998,-368.101108070161,-62.89465888857012,720.0,44.26240015732765,660.5993109914998,368.101108070161,62.89465888857012
