method,rmse_from_raw,mae_from_raw,residual_std,derivative_noise_mad,max_abs_derivative,max_abs_derivative_position,major_candidate_position,major_candidate_shift_from_median_gaussian,main_peak_prominence,main_peak_width,significant_peak_count,artificial_peak_suspect_count,assessment
Raw,0.0,0.0,0.0,201.6336,624.0,918,,,,,0,0,undetectable
Median+Gaussian,416.6466379470739,262.6988871833518,416.6416520703849,13.78806235410273,43.436453231362975,338,338,0,43.422181295736664,11.63655412944587,1,0,candidate_only_not_PD
Huber MRF lambda=0.1,43.15471306472459,35.701256544605265,43.15471306472459,180.16499700203707,544.1204683791366,918,918,580,543.1243708515212,1.2849002928655864,2,0,candidate_only_not_PD
Huber MRF lambda=1,174.24681388054745,138.04897065778516,174.24681388054745,89.43446397311571,269.1365467321193,146,,,,,0,0,undetectable
Huber MRF lambda=10,292.31294523466397,219.0779771641931,292.31294523466397,26.35417531747941,79.35741088368377,810,810,472,79.1534319002676,3.8540226675135045,2,0,candidate_only_not_PD
