distance,Raw,Median+Gaussian,Huber MRF lambda=0.1,Huber MRF lambda=1,Huber MRF lambda=10,derivative:Raw,derivative:Median+Gaussian,derivative:Huber MRF lambda=0.1,derivative:Huber MRF lambda=1,derivative:Huber MRF lambda=10
0,44144.0,44511.43240181306,44182.35307318881,44333.93643023678,44471.49888008322,464.0,0.36959834245499223,399.86043927450373,189.93643023678305,32.749888008329435
1,44608.0,44511.80200015551,44582.21351246331,44523.872860473566,44504.24876809155,288.0,0.4997271366883069,262.76314789786557,147.8728604735661,27.56232641290262
2,44720.0,44512.431856086434,44707.87936898454,44629.682151183915,44526.62353290903,56.0,0.6643300871182873,65.06270144392693,60.65036630231043,12.705941462925693
3,44720.0,44513.13066032975,44712.33891535117,44645.17359307819,44529.6606510174,-32.0,0.6264141679821478,-33.84587687755629,-21.92176156663845,-6.479849340750661
4,44656.0,44513.6846844224,44640.18761522943,44585.83862805064,44513.663834227526,-168.0,0.38502817296466674,-151.21322397458425,-94.41565100222579,-23.113625078502082
5,44384.0,44513.90071667568,44409.912467402,44456.342291073735,44483.4334008604,-88.0,-0.01857893742635497,-100.7128108174511,-93.32519144003527,-25.258763324109168
6,44480.0,44513.647526547546,44438.761993594526,44399.18824517057,44463.14630757931,-216.0,-0.5224797117407434,-190.6031779977311,-97.55992331788002,-21.12977790212244
7,43952.0,44512.8557572522,44028.70611140654,44261.222444437975,44441.17384505615,32.0,-1.0667938914702972,30.598520983472554,16.64542148639157,2.4862297296531324
8,44544.0,44511.513938764605,44499.95903556147,44432.47908814335,44468.11876703861,224.0,-1.6097792258442496,207.18692798640768,115.49618777705109,23.150860334390018
9,44400.0,44509.63619880051,44443.07996737935,44492.21481999208,44487.47556572493,168.0,-2.1423860321447137,158.5207687146285,105.8431418447617,23.730576972568088
10,44880.0,44507.229166700316,44817.00057299073,44644.165371832874,44515.57992098375,72.0,-2.6825249818612065,58.92347056501603,34.033237757241295,9.883351308002602
11,44544.0,44504.271148836786,44560.926908509384,44560.28129550656,44507.24226834094,-208.0,-3.2566999796181335,-171.43912193441065,-75.74342857304146,-10.175539225765533
