distance,Raw,Median+Gaussian,Huber MRF lambda=0.1,Huber MRF lambda=1,Huber MRF lambda=10,derivative:Raw,derivative:Median+Gaussian,derivative:Huber MRF lambda=0.1,derivative:Huber MRF lambda=1,derivative:Huber MRF lambda=10
0,44864.0,44747.65080959759,44823.39086327582,44679.10031891314,44722.30944022323,-800.0,6.092685207819159,-678.1725896918506,-184.89968108687026,-14.16905597767618
1,44064.0,44753.74349480541,44145.21827358397,44494.20063782627,44708.140384245555,16.0,8.775334319780086,18.540811638074956,30.200637826266757,18.037963234601193
2,44896.0,44765.20147823715,44860.47248655197,44739.50159456567,44758.38536669243,432.0,13.474253301621502,383.03522354274537,167.05175402224268,43.36425078149841
3,44928.0,44780.69200140865,44911.28872066946,44828.30414587075,44794.86888580855,-56.0,16.641571295655012,-32.74016253523223,38.954624240453995,29.826963406547293
4,44784.0,44798.48462082846,44794.9921614815,44817.41084304658,44818.03929350553,-80.0,18.01145667590754,-61.33575178045794,5.812118699112034,24.872372372254176
5,44768.0,44816.714914760465,44788.61721710854,44839.928383268976,44844.61363055306,112.0,17.578901753258833,96.71114116973331,58.48173185688938,30.40501857518393
6,45008.0,44833.642424334976,44988.41444382097,44934.37430676036,44878.849330655896,128.0,15.567584384854854,101.86944581728312,57.63307687155611,27.778166635627713
7,45024.0,44847.850083530175,44992.35610874311,44955.19453701209,44900.169963824315,-200.0,12.368031483074446,-154.27779136232493,-13.58250124222468,15.129131359641178
8,44608.0,44858.378487301125,44679.85886109632,44907.20930427591,44909.10759337518,272.0,8.46135809948828,247.21280993613982,101.61941940177348,23.993009219615487
9,45568.0,44864.77279972915,45486.78172861539,45158.433375815635,44948.155982263546,152.0,4.333671139815124,135.14891150699623,46.44075944754877,8.056188001548435
10,44912.0,44867.045829580755,44950.15668411031,45000.090823171005,44925.219969378275,-312.0,0.40330073828226887,-280.57477696582646,-114.29714105912717,-22.27501441635468
11,44944.0,44865.579401205716,44925.632174683735,44929.83909369738,44903.60595343084,-128.0,-3.0213478280093113,-116.363636007889,-77.33218262493756,-23.63371827590163
12,44656.0,44861.003133924736,44717.429412094534,44845.42645792113,44877.95253282647,152.0,-5.756411607231712,121.54601142348838,10.300593184310856,-14.555793963038013
13,45248.0,44854.06657799125,45168.72419753071,44950.440280066,44874.49436550476,64.0,-7.7289184918190585,32.31405954972797,-43.7660378221226,-22.13344904647238
14,44784.0,44845.5452969411,44782.05753119399,44757.894382276885,44833.68563473353,-568.0,-8.955551989554806,-487.7529629039309,-205.598706650675,-38.32444903456053
15,44112.0,44836.15547401214,44193.21827172285,44539.24286676465,44797.84546743564,8.0,-9.489990644982754,-4.615906780982186,-5.030082129902439,-1.5478939261047344
16,44800.0,44826.56531565113,44772.825717632026,44747.83421801708,44830.58984688132,384.0,-9.38831879342979,356.97799253055564,182.50846026096042,34.27387178974459
17,44880.0,44817.37883642528,44907.17425678396,44904.25978728657,44866.39321101513,304.0,-8.686293769114855,276.9780280950072,168.55546291278733,35.12302468456983
18,45408.0,44809.1927281129,45326.78177382204,45084.945143842655,44900.83589625046,-48.0,-7.391941292844422,-30.586648171440174,19.157928477401583,9.084480047848047
19,44784.0,44802.594953839594,44846.00096044108,44942.57564424138,44884.562171110825,-152.0,-5.500002661894541,-133.43118187911023,-63.08167748058622,-11.245616584088566
20,45104.0,44798.192722789114,45059.91941006382,44958.78178888148,44878.34466308228,24.0,-3.0411361900951306,-6.484500058184494,-56.402960919152974,-17.50027487443367
21,44832.0,44796.512681459404,44833.03196032471,44829.76972240307,44849.56162136196,-256.0,-0.10880906552119995,-221.7276481155386,-130.12720527687634,-27.904960652220325
22,44592.0,44797.97510465807,44616.46411383274,44698.52737832773,44822.53474177784,-88.0,3.151126196167752,-94.2472773282534,-77.97865491147604,-15.500142495231557
23,44656.0,44802.81493385174,44644.537405668205,44673.81241258012,44818.561336371495,-24.0,6.5170888993525296,-29.239679823527695,-15.808759457551787,4.154661412234418
24,44544.0,44811.00928245678,44557.98475418569,44666.909859412626,44830.84406460231,-40.0,9.716655776879634,-16.628880554093485,54.55237653881704,26.624931460926746
25,44576.0,44822.2482454055,44611.27964456002,44782.91716565775,44871.81119929335,472.0,12.493753761718835,424.39849237689486,219.46588907400292,55.75769465570556
26,45488.0,44835.996789980214,45406.78173893948,45105.84163756063,44942.35945391372,168.0,14.6641438579245,184.0744368738633,131.8452906831917,43.266227316060395
27,44912.0,44851.57653312135,44979.428518307745,45046.607747024136,44958.34365392547,-96.0,16.133459514618153,-79.57965609246821,8.069982975572202,18.301382708021265
28,45296.0,44868.26370900945,45247.62242675454,45121.98160351178,44978.96221932976,56.0,16.916703210885316,26.306042219479423,-11.635341756471462,4.766676370782079
29,45024.0,44885.40993954312,45032.0406027467,45023.33706351119,44967.87700666703,-200.0,17.11478734101911,-175.3788102743274,-98.97600824498295,-13.891362329377444
30,44896.0,44902.49328369149,44896.864806205886,44924.02958702181,44951.17949467101,-136.0,16.864106042703497,-130.85176551139375,-85.29268297847375,-13.938537262478349
31,44752.0,44919.138151628526,44770.337071723916,44852.751697554246,44939.99993214208,-40.0,16.29668705624863,-34.842375862393965,-20.902040690449212,-1.7795659218245419
32,44816.0,44935.086657803986,44827.1800544811,44882.22550564091,44947.62036282736,120.0,15.50494238578176,112.74325516265162,62.58656090712611,14.201448826650449
33,44992.0,44950.14803640009,44995.82358204922,44977.9248193685,44968.40282979538,224.0,14.52460508463264,187.76143781419887,88.66172341183847,19.60260845778612
34,45264.0,44964.13586797325,45202.702930109495,45059.54895246459,44986.82557974293,-144.0,13.34126587989158,-107.44375801139176,-20.60139067161799,4.564028934699309
35,44704.0,44976.83056815987,44780.936066026436,44936.72203802526,44977.530887664776,-32.0,11.925599135702214,-29.248777331733436,-6.465895426696079,4.381852305086795
36,45200.0,44987.987066244656,45144.20537544603,45046.6171616112,44995.589284353104,104.0,10.268671701061976,84.29618664974623,33.203704391529755,7.837860905980051
37,44912.0,44997.367911561996,44949.52843932593,45003.12944680832,44993.206609476736,-16.0,8.399371410519962,-7.034739490442007,2.0770086012853426,1.6776555974684015
38,45168.0,45004.785809065696,45130.135896465144,45050.77117881377,44998.94459554804,-8.0,6.389590017719456,-8.71306053508306,-10.97267858766645,-2.714784151288768
39,44896.0,45010.147091597435,44932.10231825576,44981.18408963299,44987.77704117416,-8.0,4.342700606470316,-17.521986930572893,-26.99504436429197,-6.578702315178816
40,45152.0,45013.471210278636,45095.091922604,44996.781090085184,44985.78719091768,-168.0,2.3582536665926455,-145.4420414440283,-62.012454505205824,-10.300490710589656
41,44560.0,45014.86359893062,44641.218235367705,44857.15918062258,44967.17605975298,0.0,0.49358637761542923,12.149478745053784,8.957680848678137,1.7476718229445396
42,45152.0,45014.45838303387,45119.390880094106,45014.69645178254,44989.28253456357,344.0,-1.2628227742643503,279.0863148663666,88.88549705122932,13.970601538774645
43,45248.0,45012.33795338209,45199.39086510044,45034.930174725036,44995.11726283053,-256.0,-3.0009497252758592,-216.2264630636928,-86.3011896949829,-6.8094085915217875
44,44640.0,45008.456483583315,44686.93795396672,44842.094072392574,44975.66371738053,-256.0,-4.872530909779016,-224.58236772787495,-91.78906613617073,-2.6703595809703984
45,44736.0,45002.59289156253,44750.22612964469,44851.352042452694,44989.77654366859,160.0,-7.047977504367736,134.41882390142928,66.93399128646342,26.801653471487953
46,44960.0,44994.36052857458,44955.77560176958,44975.9620549655,45029.267024323504,200.0,-9.662141347489523,184.42748097278673,132.59103999555737,42.9538318710911
47,45136.0,44983.268608867555,45119.08109159026,45116.53412244381,45075.68420741077,56.0,-12.755706045638362,78.71094777197868,130.83912870021595,43.40139345780335
48,45072.0,44968.8491164833,45113.19749731354,45237.64031236593,45116.06981123911,392.0,-16.24661784460841,367.48821859693635,203.9263461050905,42.58909439029594
49,45920.0,44950.77537317834,45854.057528784135,45524.38681465399,45160.86239619136,272.0,-19.92224565811557,243.76334908528952,88.93990961505187,6.8357047618192155
50,45616.0,44929.00462516707,45600.724195484116,45415.52013159604,45129.74122076275,-472.0,-23.455153337574302,-426.172111423999,-209.10661725993123,-55.43411439047122
51,44976.0,44903.86506650319,45001.71330593614,45106.17358013413,45049.99416741042,-384.0,-26.455968229918653,-373.9846043227626,-244.25976139485283,-76.04734498181278
52,44848.0,44876.092688707235,44852.75498683859,44927.00060880633,44977.646530799124,-112.0,-28.536995887865487,-125.18338490460883,-139.67266692462363,-65.86531007133817
53,44752.0,44846.79107472746,44751.34653612692,44826.82824628488,44918.26354726774,-128.0,-29.376588014016306,-104.67577007706495,-62.75823937901441,-51.0698061679941
54,44592.0,44817.3395126792,44643.40344668446,44801.4841300483,44875.506918463136,296.0,-28.771754282810434,256.6888297377518,79.39794878757675,-28.581282881448715
55,45344.0,44789.24756616184,45264.72419560242,44985.624143860034,44861.100981504846,144.0,-26.6600416620131,117.32704117216781,4.952085741744668,-38.55088788305147
56,44880.0,44764.019429355176,44878.057529028796,44811.38830153179,44798.40514269703,-480.0,-23.125651393886073,-414.10829043234116,-208.5416915623464,-66.77558167295865
57,44384.0,44742.996263374065,44436.50761473774,44568.54076073534,44727.54981815893,-136.0,-18.381037414535967,-161.2825715996696,-150.57716042878383,-53.67783363015769
58,44608.0,44727.257354526104,44555.49238582946,44510.233980674224,44691.04947543672,-296.0,-12.73781254777714,-281.6446703420115,-107.18978972400146,-32.347868950375414
59,43792.0,44717.52063827851,43873.21827405372,44354.16118128734,44662.85408025818,320.0,-6.563073025721678,305.6446709379925,128.77808424508112,15.34730883436714
60,45248.0,44714.13120847466,45166.78172770544,44767.790149164386,44721.74409310545,416.0,-0.24925929148957948,394.24043874897325,169.75374947094315,32.57721750254859
61,44624.0,44717.02211969553,44661.699151551664,44693.668680229224,44728.008515263275,-312.0,5.815247416583588,-267.09120682962384,-39.28712882054606,11.464847920986358
62,44624.0,44725.76170330783,44632.599314046194,44689.215891523294,44744.673788947424,16.0,11.274657442128955,13.8967327254868,28.15515705571306,22.698963131519122
63,44656.0,44739.57143457979,44689.49261700264,44749.97899434065,44773.40644152631,264.0,15.812502578912245,224.35638796964122,107.75259998768524,34.60297465520489
64,45152.0,44757.38670846565,45081.31208998548,44904.721091498664,44813.879738257834,40.0,19.161868607607175,38.37992291023329,31.10264290734267,23.567283644413692
65,44736.0,44777.895171795004,44766.252462823104,44812.184280155336,44820.54100881514,-200.0,21.136052627593017,-163.79731304685993,-54.44467126566451,10.888320998063136
66,44752.0,44799.65881372084,44753.71746389176,44795.831748967335,44835.65638025396,0.0,21.64580841546922,-3.9476794725778745,5.563343295674713,19.298190451518167
67,44736.0,44821.18678862594,44758.35710387795,44823.310966746685,44859.13738971818,128.0,20.692165503362048,116.42515937593271,71.13470115268501,29.637878950125014
68,45008.0,44841.04314472756,44986.56778264362,44938.101151272705,44894.93213815421,128.0,18.3990893045775,121.04959198376673,79.84076016237668,30.14135534374509
