distance,Raw,Median+Gaussian,Huber MRF lambda=0.1,Huber MRF lambda=1,Huber MRF lambda=10,derivative:Raw,derivative:Median+Gaussian,derivative:Huber MRF lambda=0.1,derivative:Huber MRF lambda=1,derivative:Huber MRF lambda=10
0,49520.0,49236.69898803527,49514.04532780514,49479.47095191075,49305.930374338044,-80.0,-8.837452890235,-59.54672194853629,-40.52904808924359,-21.406962566194125
1,49440.0,49227.861535145035,49454.49860585661,49438.941903821506,49284.52341177185,32.0,-12.882922625118226,12.946307334510493,-41.05809617849445,-29.180791977603803
2,49584.0,49210.933142785034,49539.937942474164,49397.35475955376,49247.56879038284,-120.0,-20.278006481828925,-134.87095101162777,-134.90976449086884,-53.776181869870925
3,49200.0,49187.30552218138,49184.75670383335,49169.12237483977,49176.97104803211,-536.0,-26.05913144245278,-463.5185871328358,-243.6711972941048,-71.7491899491215
4,48512.0,49158.81487990013,48612.90076820849,48910.01236496555,49104.07041048459,-24.0,-29.897453935831436,-35.23122692362813,-60.10382739144552,-43.297117023284954
5,49152.0,49127.510614309715,49114.294249986095,49048.91472005688,49090.37681398554,392.0,-31.70404802723715,312.86473170808677,87.35971511976459,-16.774755799779086
6,49296.0,49095.406783845654,49238.630231624666,49084.73179520508,49070.520898885035,-208.0,-31.61867143623749,-162.51286023809007,-69.81702724926072,-31.129870156251854
7,48736.0,49064.27327143724,48789.268529509915,48909.280665558355,49028.117073673035,-200.0,-29.958184385988716,-183.01905456517488,-88.81079686753947,-27.79797152834726
8,48896.0,49035.49041507368,48872.592122494316,48907.11020147,49014.92495582834,-40.0,-27.137120688374125,-33.71579454402672,3.3846366466386826,-7.245870053280669
9,48656.0,49009.99903006049,48721.83694042186,48916.04993885163,49013.62533356647,328.0,-23.58190376411585,295.78555596926526,138.96470680745188,16.581644416459312
10,49552.0,48988.326607545445,49464.16323443285,49185.039615084905,49048.08824466126,208.0,-19.6697586877126,185.78643024279518,85.50948377572786,9.267323327847407
11,49072.0,48970.659512685066,49093.40980090745,49087.06890640309,49032.15998022217,-320.0,-15.680458607577748,-263.70442898815236,-90.43625548027194,-17.920265427979757
12,48912.0,48956.96569033029,48936.75437645654,49004.16710412436,49012.2477138053,-24.0,-11.799370699158317,-32.883542168208805,-36.81825021655095,-14.89988072660708
13,49024.0,48947.06077128675,49027.642716571034,49013.43240596999,49002.360218768954,152.0,-8.155761556761718,109.10192296966488,3.9815048306190874,-10.969484097895474
14,49216.0,48940.654167216766,49154.95822239587,49012.1301137856,48990.30874560951,-200.0,-4.856800263693003,-177.89338219580168,-103.23723529158451,-23.336035878972325
15,48624.0,48937.34717075936,48671.85595217943,48806.95793538682,48955.68814701101,-280.0,-2.023620912561455,-243.82250931928138,-113.69321070537626,-18.03619124794568
16,48656.0,48936.60692539164,48667.31320375731,48784.74369237485,48954.23636311362,56.0,0.1888723064075748,52.023270364406926,42.157603175452095,13.460034258285305
