distance,Raw,Median+Gaussian,Huber MRF lambda=0.1,Huber MRF lambda=1,Huber MRF lambda=10,derivative:Raw,derivative:Median+Gaussian,derivative:Huber MRF lambda=0.1,derivative:Huber MRF lambda=1,derivative:Huber MRF lambda=10
0,46688.0,46734.15227727175,46688.0468494814,46705.76454892058,46742.964362335595,0.0,-0.5623962483296054,0.4684948140056804,17.76454892057518,5.496436233559507
1,46688.0,46733.58988102342,46688.5153442954,46723.52909784116,46748.460798569155,-16.0,-0.9721658695489168,3.0452162910150946,35.529097841157636,8.519476162018691
2,46656.0,46732.20794553265,46694.13728206343,46776.8227446029,46760.00331465963,216.0,-2.0201445921447885,196.30834808515283,113.70501906318896,16.74268182345986
3,47120.0,46729.54959183913,47081.13204046571,46950.939135967536,46781.946162216074,224.0,-3.563990970058512,192.65496073081158,89.58595934840196,5.0401556672441075
4,47104.0,46725.079963592536,47079.44720352505,46955.9946632997,46770.08362599412,-152.0,-5.613068132395711,-124.4488193153993,-68.94714101797581,-28.558354922250146
5,46816.0,46718.32345557434,46832.23440183491,46813.044853931584,46724.829452371574,-160.0,-8.041840011697786,-166.04079251559597,-144.42738240233302,-49.81270100396432
6,46784.0,46708.99628356914,46747.36561849386,46667.139898495036,46670.45822398619,-416.0,-10.598975567088928,-378.9959411724194,-204.3350061890269,-60.04831718607238
7,45984.0,46697.12550444016,46074.24251949007,46404.37484155353,46604.73281799943,16.0,-12.93468404023588,-9.338202854414703,-52.5776361647404,-34.688765086793865
8,46816.0,46683.12691548867,46728.68921278503,46561.984626165555,46601.080693812604,120.0,-14.670017863787507,116.27570882174041,30.60209769480207,-14.398089496193279
9,46224.0,46667.78546871259,46306.79393713355,46465.579036943134,46575.93663900704,-24.0,-15.460320218029665,-7.925589983729878,24.383929249142966,-7.547222855209839
10,46768.0,46652.20627505261,46712.83803281757,46610.75248466384,46585.986248102185,152.0,-15.033385412232747,130.2342597718598,66.54969005263047,0.9489215002504352
11,46528.0,46637.71869788812,46567.26245667727,46598.678417048395,46577.83448200754,56.0,-13.256218263151823,50.73670724605836,23.265140908748435,-5.6600419942624285
12,46880.0,46625.693838526306,46814.31144730969,46657.28276648134,46574.66616411366,-96.0,-10.173810335076269,-81.39377281913403,-52.75426732638152,-18.435009688200807
13,46336.0,46617.37107721797,46404.474911039004,46493.16988239563,46540.96446263114,-64.0,-6.007319090207602,-67.46198107567398,-85.52794288789664,-23.45347835096254
14,46752.0,46613.67920034589,46679.38748515834,46486.226880705544,46527.759207411735,-272.0,-1.1475631447356136,-261.1162023154611,-139.8295613373084,-24.417294848819438
15,45792.0,46615.0759509285,45882.24250640808,46213.510759721015,46492.1298729335,-192.0,3.8897034816400264,-170.58452072284854,-61.96074112402857,-0.6228408315546403
16,46368.0,46621.45860730917,46338.21844371264,46362.30539845749,46526.513525748625,344.0,8.528273037973122,304.68643210726805,145.9473379652227,42.30932910255069
17,46480.0,46632.132497004444,46491.61537062262,46505.40543565146,46576.748531138604,216.0,12.219790216306137,211.4737800230614,155.80275501969663,55.07243194690818
18,46800.0,46645.89818774178,46761.166003758764,46673.91090849688,46636.65838964244,56.0,14.518135166203137,75.38065192998693,105.46092709386357,51.742777985960856
19,46592.0,46661.16876733685,46642.37667448259,46716.32728983919,46680.234087110526,144.0,15.148337319504208,133.0940431367817,104.58002626190137,47.987401823611435
20,47088.0,46676.19486238079,47027.35409003233,46883.07096102068,46732.633193289665,88.0,14.040002876845392,81.74786571136792,64.27915169183689,34.63076584362352
21,46768.0,46689.24877309054,46805.87240590533,46844.88559322286,46749.49561879777,-48.0,11.321657247222902,-32.11965460038118,0.25742881361293257,15.937206447993958
22,46992.0,46698.83817687524,46963.114780831565,46883.58581864791,46764.50760618565,32.0,7.299018555579096,12.816279084087,-15.506865251001727,3.637367697163427
23,46832.0,46703.8468102017,46831.5049640735,46813.87186272086,46756.7703541921,-144.0,2.4019166939724528,-134.0849963905639,-78.77802456661811,-11.498734283944941
24,46704.0,46703.64201026318,46694.94478805044,46726.02976951467,46741.51013761776,-216.0,-2.876691500612651,-181.83623577089384,-76.82720844884534,-13.384709693455079
25,46400.0,46698.093427200474,46467.832492531714,46660.21744582317,46730.00093480519,152.0,-8.047960586212866,139.30030783254188,64.29639922007846,4.990843927691458
26,47008.0,46687.546089090756,46973.54540371552,46854.62256795483,46751.491825473146,368.0,-12.66601427151545,306.18978906871416,117.71640610907343,8.665481941610778
27,47136.0,46672.76139865744,47080.21207066914,46895.650258041314,46747.33189868841,-224.0,-16.362765975303773,-188.02365314788767,-79.1471808928618,-23.593331850312097
28,46560.0,46654.82055714015,46597.498097419746,46696.328206169106,46704.30516177252,-328.0,-18.869069169249997,-279.47281270344683,-131.15794878765155,-35.81147882726145
29,46480.0,46635.02326031894,46521.26644526225,46633.33436046601,46675.70894103389,176.0,-20.026027111398434,130.1005741537374,13.67333452991079,-18.81077368694241
30,46912.0,46614.76850291735,46857.69924572722,46723.67487522893,46666.68361439864,88.0,-19.808935551471222,64.92902910107296,-3.8220476226160827,-21.29114591531834
31,46656.0,46595.405389216,46651.124503464394,46625.69026522078,46633.12664920325,-272.0,-18.309909906907706,-230.95222494084737,-113.13947739776631,-34.700632735224644
32,46368.0,46578.148683103536,46395.794795845526,46497.395920433395,46597.28234892819,-136.0,-15.740635337078857,-116.35572839122688,-63.59638457067922,-24.380182828652323
33,46384.0,46563.92411854184,46418.41304668194,46498.49749607942,46584.36628354595,248.0,-12.413031560834497,194.68348424613214,58.350323685728654,-2.897751204945962
34,46864.0,46553.32261998187,46785.16176433779,46614.09656780485,46591.486846518295,-40.0,-8.691888238234242,-27.442460655194736,-9.352644372138457,-6.505094701733469
35,46304.0,46546.540342065375,46363.52812537155,46479.792207335144,46571.35609414248,-144.0,-4.958023083916487,-123.99301210849808,-46.408256802140386,-6.7629476686925045
36,46576.0,46543.406573814034,46537.175740120794,46521.28005420057,46577.96095118091,-24.0,-1.5330946982612659,-20.47368464677129,14.127873965720937,6.702904597474117
37,46256.0,46543.47415266885,46322.58075607801,46508.047955266586,46584.76190333743,272.0,1.378760856729059,246.29087404563688,112.79187869929956,23.23904732338997
38,47120.0,46546.16409552749,47029.75748821207,46746.86381159917,46624.43904582769,88.0,3.725390069408604,90.28527639376989,52.2477621321741,14.899094781649183
39,46432.0,46550.92493280767,46503.15130886555,46612.543479530934,46614.56009290073,-144.0,5.613088806843734,-133.15281591656458,-44.04859230276634,-0.7509482819295954
40,46832.0,46557.39027314118,46763.45185637894,46658.76662699364,46622.93714926383,-88.0,7.269996046790766,-82.44017059192629,-40.39353904048039,-2.0760861737035157
41,46256.0,46565.46492490125,46338.270967681696,46531.75640144997,46610.40792055332,-40.0,8.975111574749462,-13.826050288760598,10.867975181321526,5.191167317156214
42,46752.0,46575.34049629068,46735.79975580142,46680.50257735628,46633.31948389814,392.0,10.964291859974765,316.5275671268282,112.99746458444497,16.977537539729383
43,47040.0,46587.3935086212,46971.32610193535,46757.75133061886,46644.36299563278,-168.0,13.318518620930263,-140.2252546499949,-63.87558142798298,-8.738338483726693
44,46416.0,46601.97753353254,46455.34924650143,46552.751414500315,46615.84280693069,-328.0,15.922209891366947,-286.84851246612016,-136.6242088683939,-18.528048355554347
45,46384.0,46619.237928403934,46397.62907700311,46484.502912882075,46607.30689892167,24.0,18.45262023818941,10.425215517228935,-17.997045177195105,2.6294369370662025
46,46464.0,46638.88277400892,46476.199677535886,46516.757324145925,46621.10168080482,168.0,20.41850629556575,139.56898821218783,58.633073336804955,21.64986592339119
47,46720.0,46660.074940995066,46676.76705342749,46601.769059555685,46650.60663076845,-24.0,21.282926233834587,-15.597356970967667,25.896265187606332,26.035281502052385
48,46416.0,46681.44862647659,46445.00496359395,46568.54985452114,46673.17224380893,-128.0,20.585086764927837,-86.73727186377437,43.055722226024955,35.424225230923184
49,46464.0,46701.24511452492,46503.29250969994,46687.880504007735,46721.4550812303,448.0,18.07090116978361,406.85413747347775,231.27090149046126,61.15559148288594
50,47312.0,46717.590428816155,47258.713238540906,47031.09165750206,46795.4834267747,336.0,13.760867414046515,336.8828786777012,202.75698224535518,48.202516883135104
