Distance,Intensity,Derivative
0,48452.33767975655,29.2930795009961
1,48481.63075925755,43.02275407709021
2,48538.38318791073,68.72934809545404
3,48619.089455448455,90.25160546680854
4,48718.88639884435,106.44661894023375
5,48831.98269332892,116.64683749890901
6,48952.180073842166,120.71591541480302
7,49073.41452415853,119.0423883108233
8,49190.26485046381,112.47288057483092
9,49298.36028530819,102.19111754342157
10,49394.647085550656,89.55837574597899
11,49477.47703680015,75.94604048064866
12,49546.53916651195,62.575360947230365
13,49602.62775869461,50.40185099541486
14,49647.34286850278,40.05800227208965
15,49682.74376323879,31.844709218854405
16,49711.03228694049,25.761066970648244
17,49734.265897180085,21.587941131285334
18,49754.20816920306,18.9672065104387
19,49772.20031020096,17.469808972789906
20,49789.14778714864,16.665312669538253
21,49805.53093554004,16.166433785321715
22,49821.480654719286,15.667692585946497
23,49836.86632071193,14.958473516438971
24,49851.39760175216,13.937460893910611
25,49864.74124249975,12.60648618068808
26,49876.61057411354,11.061930680538353
27,49886.86510386083,9.458591839964356
28,49895.52775779347,7.968007724619383
29,49902.80111931007,6.7487491805441095
30,49909.02525615456,5.903049675507646
31,49914.60721866108,5.452881177236122
32,49919.93101850903,5.340726335947693
33,49925.28867133298,5.451929797120101
34,49930.83487810327,5.631112622399087
35,49936.55089657778,5.726034087274456
36,49942.28694627782,5.620720746286679
37,49947.79233807035,5.23161500095739
38,49952.75017627973,4.522283536618488
39,49956.83690514359,3.5077865563616797
40,49959.765749392456,2.2331995306703902
41,49961.30330420493,0.766603553933237
42,49961.29895650032,-0.8001625888682611
43,49959.70297902719,-2.3601221673998225
44,49956.57871216552,-3.7970663859450724
45,49952.1088462553,-4.986620700779895
46,49946.60547076396,-5.810943046988541
47,49940.486960161325,-6.176274163080961
48,49934.2529224378,-6.023833759099944
49,49928.439292643125,-5.339818692624249
50,49923.57328505255,-4.163537872813322
51,49920.1122168975,-2.5846157926134765
52,49918.404053467326,-0.7332330787503452
53,49918.64575074,1.2362131273876003
54,49920.8764797221,3.1633878382563125
55,49924.97252641651,4.896954202278721
56,49930.67038812666,6.311455395920348
57,49937.59543720835,7.3198979317785415
58,49945.310183990216,7.877330555296794
59,49953.350098318944,7.982422565128218
60,49961.27502912047,7.669623323250562
61,49968.689344965445,7.000216026586713
62,49975.275461173645,6.0486299241638335
63,49980.78660481377,4.891696006736311
64,49985.05885318712,3.604820930682763
65,49987.99624667514,2.26059224130222
66,49989.58003766972,0.9289044512552209
67,49989.85405557765,-0.3245635203202255
68,49988.93091062908,-1.4374682114976167
69,49986.979119154654,-2.3656701777763374
70,49984.19957027353,-3.085378269188368
71,49980.80836261628,-3.5927761943021324
72,49977.014017884925,-3.9111322148528416
73,49972.98609818657,-4.074074603537156
74,49968.86586867785,-4.112647922644101
75,49964.76080234128,-4.040900617710577
76,49960.78406744243,-3.8475842939260474
77,49957.06563375343,-3.4981406185506785
78,49953.78778620533,-2.9402989775771857
79,49951.18503579828,-2.141191224785871
80,49949.50540375576,-1.1162445285954163
81,49948.952546741086,0.06514829720254056
82,49949.63570035016,1.2780184578659828
83,49951.50858365682,2.362240882233891
84,49954.36018211463,3.1637106138150557
85,49957.83600488445,3.572289222589461
86,49961.50476055981,3.551861340223695
87,49964.939727564895,3.151097174610186
88,49967.80695490903,2.487471370935964
89,49969.91467030677,1.7080807222700969
90,49971.22311635357,0.9531807627427042
91,49971.82103183225,0.3173060367553262
92,49971.85772842708,-0.17182724453959963
93,49971.47737734317,-0.5442176712385844
94,49970.7692930846,-0.8675744936481351
95,49969.74222835588,-1.2154147419641959
96,49968.338463600674,-1.6400150558547466
97,49966.46219824417,-2.165129245553544
98,49964.00820510957,-2.7928013456876215
99,49960.87659555279,-3.5186840237547585
100,49956.97083706206,-4.355171798124502
101,49952.16625195654,-5.336783982715133
102,49946.29726909663,-6.515193003095192
103,49939.13586595035,-7.934845916068298
104,49930.42757726449,-9.593890361451486
105,49919.94808522745,-11.41821200107006
106,49907.59115326235,-13.253433939458773
107,49893.44121734853,-14.872006060293643
108,49877.84714114176,-16.00433928741768
109,49861.4325387737,-16.39452647014332
110,49845.05808820148,-15.852856374494877
111,49829.72682602471,-14.297422650248336
112,49816.46324290098,-11.778217655013577
113,49806.17039071468,-8.47590246996333
114,49799.51143796105,-4.678153652002948
115,49796.814083410674,-0.7282816897313751
116,49798.05487458159,3.0210203588576405
117,49802.85612412839,6.248455513425142
118,49810.55178560844,8.708917562158604
119,49820.27395925271,10.263674822730536
120,49831.0791352539,10.87836091205827
121,49842.03068107682,10.617260168535722
122,49852.31365559097,9.633865466610587
123,49861.298412010045,8.13426493527004
124,49868.58218546151,6.345450691194856
125,49873.989313392434,4.48760035190935
126,49877.55738616533,2.7490803894725104
127,49879.48747417138,1.2684389697569713
128,49880.094264104846,0.1289498769911006
129,49879.74537392536,-0.633773499266681
130,49878.82671710631,-1.0256569958473847
131,49877.69405993367,-1.082448814293457
132,49876.661819477726,-0.8523760906209645
133,49875.989307752425,-0.3930143788747955
134,49875.875790719976,0.2290598280633276
135,49876.44742740855,0.9350604262544948
136,49877.745911572485,1.6305039627477527
137,49879.70843533405,2.2040167560517148
138,49882.15394508459,2.5383796322566923
139,49884.78519459856,2.5315344406517397
140,49887.21701396589,2.113043792927783
141,49889.011282184416,1.2716555925944704
142,49889.76032515108,0.07026815995777724
143,49889.15181850433,-1.3597530764018302
144,49887.04081899828,-2.8314103222401172
145,49883.48899785985,-4.142875872534205
146,49878.75506725321,-5.117068141564232
147,49873.25486157672,-5.632657954196475
148,49867.489751344816,-5.653833346405008
149,49861.94719488391,-5.237437017891352
150,49857.01487730903,-4.508021400772122
151,49852.93115208237,-3.6214796970052703
152,49849.77191791502,-2.730130590229237
153,49847.47089090191,-1.9447651493646845
154,49845.88238761629,-1.304474418524478
155,49844.86194206486,-0.7880495943500136
156,49844.30628842759,-0.3399931542662671
157,49844.18195575633,0.10747051962243859
158,49844.52122946684,0.5943173699415638
159,49845.37059049621,1.1097016583953518
160,49846.74063278363,1.5913329521245032
161,49848.55325640046,1.9503092491613643
162,49850.64125128195,2.100247052145278
163,49852.75375050475,1.9880694272942492
164,49854.61739013654,1.6255162821689737
165,49856.00478306909,1.0926699186566111
166,49856.80272997385,0.520616364236048
167,49857.04601579756,0.056230585989396786
168,49856.91519114583,-0.17788720090902643
169,49856.69024139574,-0.11481579223982408
170,49856.68555956135,0.23616262849827763
171,49857.16256665274,0.7953545305135776
172,49858.27626862238,1.433114738563745
173,49860.02879612987,2.0054816512492835
174,49862.28723192488,2.3915250630416267
175,49864.81184625595,2.5160165607776435
176,49867.31926504643,2.3670568963862024
177,49869.54596004872,1.9889279225571954
178,49871.29712089155,1.4646658459096216
179,49872.47529174054,0.8874250667540764
180,49873.071971025056,0.3348371894971933
181,49873.14496611954,-0.14524411791353486
182,49872.78148278923,-0.5488502793086809
183,49872.04726556092,-0.9040526925273298
184,49870.973377404174,-1.2548064821166918
185,49869.537652596686,-1.6477719629256171
186,49867.67783347832,-2.1026984646523488
187,49865.33225566738,-2.608276765600749
188,49862.46127994712,-3.1299950694265135
189,49859.07226552853,-3.6119218888270552
190,49855.23743616947,-3.991412512943498
191,49851.08944050264,-4.2180974951261305
192,49846.801241179215,-4.267753595191607
193,49842.55393331226,-4.142213474042364
194,49838.51681423113,-3.868901916426694
195,49834.816129479404,-3.4924804874426627
196,49831.531853256245,-3.060805732766312
197,49828.69451801387,-2.61638863810731
198,49826.29907598003,-2.188149303161481
199,49824.31821940755,-1.7835111870954279
200,49822.73205360584,-1.3872809900603897
201,49821.54365742743,-0.9705094868149899
202,49820.79103463221,-0.49189005134030594
203,49820.55987732475,0.09152461740086437
