Distance,Intensity,Derivative
0,44939.77579635814,17.630140657973243
1,44957.40593701611,25.875699566633557
2,44991.527195491406,41.285049963975325
3,45039.97603694406,54.13287930685328
4,45099.79295410511,63.77221001257203
5,45167.52045696921,69.87164325400227
6,45239.53624061312,72.4370049100653
7,45312.39446678934,71.78371049146517
8,45383.10366159605,68.4764593815562
9,45449.34738555245,63.24208843776796
10,45509.58783847158,56.86768662137183
11,45563.08275879519,50.10443256659346
12,45609.79670360477,43.5846096124842
13,45650.25197802016,37.76750125421313
14,45685.3317061132,32.920843498417526
15,45716.093665017,29.128801318463957
16,45743.589308750124,26.319616575659893
17,45768.73289816832,24.322769410129695
18,45792.234847570384,22.9085119094525
19,45814.54992198722,21.83224967996648
20,45835.89934693032,20.87023547937497
21,45856.29039294597,19.838665378454607
22,45875.576677687226,18.61496804816852
23,45893.52032904231,17.133860155514412
24,45909.844397998255,15.389002755924594
25,45924.29833455416,13.429812799735373
26,45936.704023597726,11.347651321542799
27,45946.99363719724,9.265751254468341
28,45955.23552610666,7.3090493117051665
29,45961.611735820654,5.584522667912097
30,45966.40457144249,4.162944765073917
31,45969.9376253508,3.0658620347567194
32,45972.536295512,2.265531291563093
33,45974.46868793393,1.6991848444959032
34,45975.93466520099,1.2900189978063281
35,45977.04872592954,0.9645520922240394
36,45977.86376938544,0.6671012909973797
37,45978.382928511535,0.3682281232140667
38,45978.60022563187,0.06040867097544833
39,45978.503745853486,-0.26098536630524904
40,45978.07825489926,-0.6033130098912807
41,45977.2971198337,-0.9831647127903125
42,45976.11192547368,-1.4255017438044888
43,45974.446116346095,-1.9493988954127417
44,45972.21312768285,-2.5560439558976213
45,45969.3340284343,-3.216499750975345
46,45965.7801281809,-3.8690749842571677
47,45961.595878465785,-4.429133919769811
48,45956.92186034136,-4.80535357284316
49,45951.9851713201,-4.9216283714085876
50,45947.078603598544,-4.73226133595017
51,45942.5206486482,-4.231894546315743
52,45938.61481450591,-3.4551659410935827
53,45935.61031676601,-2.4647124597031507
54,45933.685389586506,-1.3361317952148966
55,45932.93805317558,-0.1381425660874811
56,45933.40910445433,1.0739978050696664
57,45935.08604878572,2.2627406798455922
58,45937.93458581402,3.4029548133221397
59,45941.891958412365,4.475712220042624
60,45946.88601025411,5.45646513464817
61,45952.80488868166,6.301834468751622
62,45959.48967919161,6.9532278477236105
63,45966.71134437711,7.3363848194421735
64,45974.162448830495,7.373614155516407
65,45981.45857268814,7.000316610512527
66,45988.16308205152,6.1798751802962215
67,45993.818323048734,4.9153163825503725
68,45997.99371481662,3.255174639321922
69,46000.32867232738,1.2911921446102497
70,46000.57609910584,-0.8525964331893192
71,45998.623479461,-3.038094295668998
72,45994.4999105145,-5.137434910280717
