Distance,Intensity,Derivative
0,47441.07962231461,25.49748495093081
1,47466.57710726554,37.464296977839695
2,47516.00821627029,59.908076058378356
3,47586.3932593823,78.79796600238114
4,47673.60414827505,93.17098760381123
5,47772.73523458992,102.46854887414884
6,47878.54124602335,106.57976555021378
7,47985.89476569035,105.82441067344917
8,48090.19006737025,100.88881888614924
9,48187.672403462646,92.73431364859789
10,48275.65869466744,82.46063140173646
11,48352.59366626612,71.16788572842052
12,48417.994466124284,59.84822572358462
13,48472.29011771329,49.28986259192243
14,48516.57419130813,40.03356482592062
15,48552.35724736513,32.37368165272346
16,48581.321554613576,26.381684914224024
17,48605.12061719358,21.95732703926842
18,48625.23620869211,18.89161262208654
19,48642.90384243775,16.9219866112835
20,48659.08018191468,15.769008444236533
21,48674.44185932622,15.172211069620971
22,48689.42460405392,14.914264279788767
23,48704.2703878858,14.818389679388929
24,48719.0613834127,14.75350423490454
25,48733.77739635561,14.640222171445203
26,48748.34182775559,14.437444955307
27,48762.652286266224,14.133448007247353
28,48776.608723770085,13.735255481136846
29,48790.1227972285,13.25752896965787
30,48803.1237817094,12.704372737091035
31,48815.53154270268,12.057887673348887
32,48827.2395570561,11.273664737243962
33,48838.07887217717,10.28625476939851
34,48847.812066594895,9.017558401770657
35,48856.11398898071,7.394422905759711
36,48862.600912406415,5.3780523432687914
37,48866.87009366725,2.9816904696162965
38,48868.56429334565,0.28652718523153453
39,48867.44314803771,-2.556231906022731
40,48863.4518295336,-5.339590909563412
41,48856.76396621858,-7.8295829987073375
42,48847.79266353619,-9.79697332422802
43,48837.17001957013,-11.05777985579698
44,48825.67710382459,-11.503891054082487
45,48814.16223746196,-11.110997450912691
46,48803.45510892277,-9.947199878115498
47,48794.26783770573,-8.160445162942779
48,48787.13421859688,-5.942533042136347
49,48782.38277162146,-3.500783736053563
50,48780.132651124775,-1.0423936779952783
51,48780.29798426547,1.258759810581978
52,48782.65017074594,3.274633379372972
53,48786.84725102421,4.922217169601936
54,48792.49460508514,6.172497649760771
55,48799.192246323735,7.039473733631894
56,48806.57355255241,7.570346169632103
57,48814.332938663,7.831421757877251
58,48822.23639606816,7.8899684981952305
59,48830.11287565939,7.801979316700454
60,48837.84035470156,7.602489271266677
61,48845.31785420192,7.300698316688795
62,48852.44175133494,6.895900005099975
63,48859.10965421212,6.389903325321939
64,48865.221557985584,5.788116807820188
65,48870.68588782776,5.115310077475442
66,48875.452178140535,4.416226914101571
67,48879.51834165597,3.7389844897406874
68,48882.930147120016,3.117447080272541
69,48885.75323581651,2.559472572480445
70,48888.04909226498,2.039266846149985
71,48889.83176950881,1.5013949796775705
72,48891.05188222433,0.8816393325505487
73,48891.59504817391,0.1320501455302292
74,48891.31598251539,-0.7578779279065202
75,48890.0792923181,-1.7453537317887822
76,48887.825275051815,-2.736444102371024
77,48884.60640411336,-3.6084748111279623
78,48880.60832542956,-4.237946169840143
79,48876.13051177368,-4.536558390671416
80,48871.535208648216,-4.477093244786374
81,48867.176325284105,-4.11552628589925
82,48863.30415607642,-3.579573545135645
83,48860.01717819383,-3.0402899839355086
84,48857.22357610855,-2.6811924758949317
85,48854.65479324204,-2.6557432950794464
86,48851.91208951839,-3.051327518220205
87,48848.5521382056,-3.8677517264004564
88,48844.17658606559,-5.026523262142291
89,48838.49909168132,-6.395106827538257
90,48831.38637241051,-7.821612258958339
91,48822.8558671634,-9.168857074000698
92,48813.04865826251,-10.343169358231535
93,48802.16952844694,-11.304145387224708
94,48790.44036748806,-12.05395486802081
95,48778.0616187109,-12.617670402076328
96,48765.20502668391,-13.010949462019198
97,48752.03971978686,-13.217125155431859
98,48738.77077637304,-13.178735672358016
99,48725.68224844214,-12.804800908874313
100,48713.161174555295,-12.000399036365707
101,48701.68145036941,-10.697554899892566
102,48691.76606475551,-8.88266511989059
103,48683.91612012963,-6.624095269693498
104,48678.51787421612,-4.065249020579358
105,48675.78562208847,-1.392353879102302
106,48675.73316645792,1.1812250280345324
107,48678.14807214454,3.459431057293841
108,48682.652028572506,5.302433972043218
109,48688.75294008863,6.633395922010095
110,48695.918820416526,7.438834966400464
111,48703.63061002143,7.7575996366431355
112,48711.43401968981,7.662752066360554
113,48718.95611415415,7.242186033505277
114,48725.91839175682,6.588116139108024
115,48732.132346432365,5.790456217058818
116,48737.49930419094,4.939425755292177
117,48742.01119794295,4.124074532988743
118,48745.74745325692,3.4279909535071056
119,48748.86717984996,2.9238586215178657
120,48751.59517049995,2.6578001445086556
121,48754.18278013898,2.63715491250332
122,48756.86948032496,2.831796797374409
123,48759.84637373373,3.1706798499544675
124,48763.21084002487,3.5530136648849293
125,48766.9524010635,3.8791045988400583
