distance,Raw,Median+Gaussian,Huber MRF lambda=0.1,Huber MRF lambda=1,Huber MRF lambda=10,derivative:Raw,derivative:Median+Gaussian,derivative:Huber MRF lambda=0.1,derivative:Huber MRF lambda=1,derivative:Huber MRF lambda=10
0,48096.0,47810.17936059456,48080.53254257932,48001.41921082045,47889.14953279997,-160.0,1.1546481591067277,-154.67457420677965,-94.58078917954117,-20.685046719998354
1,47936.0,47811.33400875366,47925.85796837254,47906.83842164091,47868.464486079974,-232.0,1.6621152295156207,-205.38473234408593,-109.16157835908962,-24.061822416002542
2,47632.0,47813.50359105359,47669.76307789115,47783.09605410227,47841.02588796797,-72.0,2.546675147343194,-67.27950102566683,-48.19434048750554,-16.987303713609435
3,47792.0,47816.42735904835,47791.29896632121,47810.4497406659,47834.489878652756,144.0,3.127155891041184,118.03072003608395,36.57855689657663,-4.4115153825732705
4,47920.0,47819.75790283567,47905.824517963316,47856.253167895426,47832.20285720282,48.0,3.332522454769787,43.648141458696045,13.930011177242704,-6.6768785897911584
5,47888.0,47823.09240395789,47878.5952492386,47838.309763020385,47821.13612147317,-80.0,3.1232436989157577,-74.2530225317023,-42.78852336484488,-14.409929655990709
6,47760.0,47826.0043902335,47757.31847289991,47770.676121165736,47803.38299789084,-160.0,2.4815163808052603,-134.68441183915274,-62.29558127178461,-15.583973687793332
7,47568.0,47828.0554367195,47609.22642556029,47713.718600476815,47789.96817409759,72.0,1.400768748972041,58.040080461851176,15.901779549483763,-2.3164150883712864
8,47904.0,47828.805927731446,47873.39863382361,47802.4796802647,47798.7501677141,144.0,-0.11451569966448005,111.16537738138868,38.000919920246815,3.519502002211084
9,47856.0,47827.82640532017,47831.55718032307,47789.72044031731,47797.00717810201,-216.0,-2.04625914085409,-164.05555188518338,-45.89901978874332,-4.692630706984346
10,47472.0,47824.71340944974,47545.28753005325,47710.68164068722,47789.36490630013,96.0,-4.341916588386084,80.16799999638897,40.30202071351596,8.225973513126519
11,48048.0,47819.1425721434,47991.89318031585,47870.32448174434,47813.45912512826,200.0,-6.904004639833147,166.07155184186558,70.80508192929119,12.367175084546034
12,47872.0,47810.90540017007,47877.43063373698,47852.2918045458,47814.09925646922,-104.0,-9.562110835380736,-87.30937789397649,-27.886774925642385,-2.254905835583486
13,47840.0,47800.01835047264,47817.274424527895,47814.550931893056,47808.949313457095,-208.0,-12.06028253832119,-173.78408656959073,-50.46540670621471,-6.702477339265897
14,47456.0,47786.78483509343,47529.8624605978,47751.36099113337,47800.69430179069,208.0,-14.072555002687295,189.27181915519031,84.4905548070019,8.979703423123283
15,48256.0,47771.87324046726,48195.818062838276,47983.53204150706,47826.90872030334,304.0,-15.224577532480907,257.6744363355683,95.93707112721677,4.759854527823336
16,48064.0,47756.33568002847,48045.21133326893,47943.2351333878,47810.214010846335,-296.0,-15.150270490841649,-244.5500632246949,-100.67934142535523,-29.38400891469064
17,47664.0,47741.57269948558,47706.717936388886,47782.17335865635,47768.14070247396,-120.0,-13.561881636316684,-124.90371493563362,-101.97509540327519,-36.86627324867368
