distance,Raw,Median+Gaussian,Huber MRF lambda=0.1,Huber MRF lambda=1,Huber MRF lambda=10,derivative:Raw,derivative:Median+Gaussian,derivative:Huber MRF lambda=0.1,derivative:Huber MRF lambda=1,derivative:Huber MRF lambda=10
0,47808.0,47421.64752529992,47761.750705765255,47619.771925036985,47510.81487452847,-624.0,0.4091840128894546,-508.18140075448173,-188.22807496302266,-29.718512547151477
1,47184.0,47422.05670931281,47253.56930501077,47431.54385007396,47481.09636198132,-152.0,0.6494069910404505,-137.49064649708816,-64.45614992603441,-14.86369444808588
2,47504.0,47422.946339282,47486.76941277108,47490.859625184916,47481.0874856323,176.0,1.196840729982796,147.04717161567896,52.74558770340445,-1.1545020674057014
3,47536.0,47424.45039077278,47547.66364824213,47537.03502548077,47478.78735784651,136.0,1.8997418842700426,119.21247668171418,46.692913036244136,-5.160759893467912
4,47776.0,47426.74582305054,47725.19436613451,47584.245451257404,47470.76596584536,-88.0,2.7837122705750517,-76.49745143508335,-48.66684859466113,-23.28309370887291
5,47360.0,47430.01781531393,47394.668745371964,47439.70132829145,47432.22117042876,-176.0,3.8234735273508704,-157.18189390271073,-104.69345882023481,-34.93373689516375
6,47424.0,47434.392770105245,47410.830578329085,47374.858533616934,47400.898492055036,-16.0,4.929945617714111,-49.68527539744173,-89.4135278660433,-32.47775377097787
7,47328.0,47439.877706549356,47295.29819457708,47260.87427255936,47367.265662886806,-320.0,5.951801562638138,-279.0414108666009,-147.5471247778878,-31.669546023884322
8,46784.0,47446.29637323052,46852.74775659588,47079.76428406116,47337.55940000727,-120.0,6.68654484520448,-98.81165500178031,-33.227846467631025,-2.02829287917848
9,47088.0,47453.250796239765,47097.67488457352,47194.4185796241,47363.20907712845,328.0,6.919867741125927,293.3015508452336,167.86358537499837,39.41013097760515
10,47440.0,47460.13610871277,47439.35085828635,47415.491454811156,47416.37966196248,368.0,6.473344060552336,338.43026514457233,208.81860259262612,51.98956793215257
11,47824.0,47466.19748436087,47774.535414862665,47612.05578480935,47467.188212992754,80.0,5.255496121648321,87.86163088964167,90.59222240287636,32.96796167991124
12,47600.0,47470.64710095607,47615.074120065634,47596.67589961691,47482.3155853223,-104.0,3.3031891927457764,-84.0906944688686,-17.04193538398613,9.243151595663221
13,47616.0,47472.80386274636,47606.35402592493,47577.97191404138,47485.67451618408,-56.0,0.7875256650004303,-56.949964516068576,-37.718028554838384,-3.157343329014111
14,47488.0,47472.22215228607,47501.1741910335,47521.23984250723,47476.00089866427,-40.0,-1.9995147374393127,-39.30887972394339,-40.1121502805363,-10.273572586596856
15,47536.0,47468.80483327148,47527.73626647704,47497.74761348031,47465.12737101089,8.0,-4.682759406572586,-14.756592171255761,-42.61842228676687,-14.417159102838923
16,47504.0,47462.856633472926,47471.661006690985,47436.0029979337,47447.166580458594,-264.0,-6.862544942028762,-217.77022633111847,-95.74311657975704,-20.802461529365246
17,47008.0,47455.079743387425,47092.195813814804,47306.26138032079,47423.52244795216,56.0,-8.188769193002372,45.56562361914985,19.389072547488468,-2.8680101088248193
18,47616.0,47446.47909508692,47562.792253929285,47474.781143028675,47441.430560240944,216.0,-8.411272606186685,200.50596233959368,97.91033422222245,9.179640300830215
19,47440.0,47438.25719817505,47493.20773849399,47502.08204876524,47441.88172855382,224.0,-7.4193336822754645,204.35458301313702,58.341930119186145,0.5452547405657242
20,48064.0,47431.64042772237,47971.50141995556,47591.46500326705,47442.521069722075,-320.0,-5.276373133263405,-307.47100467131895,-146.8845438646713,-30.434605345639284
21,46800.0,47427.704451908525,46878.26572915135,47208.312961035896,47381.01251786254,-416.0,-2.19755413290477,-386.53566511525423,-178.99556171320728,-32.457925966409675
22,47232.0,47427.24531945656,47198.43008972505,47233.47387984063,47377.605217789256,176.0,1.489256534139713,152.31480919895694,25.89785872505672,3.8729608161775104
23,47152.0,47430.682964976804,47182.89534754927,47260.10867848601,47388.75843949489,144.0,5.397080065195041,138.9419955705598,80.68913788838108,22.991143680384994
24,47520.0,47438.03947958695,47476.31408086617,47394.852155617395,47423.587505150026,72.0,9.13984858648837,74.98913764773897,72.16955494007925,30.008440912635706
25,47296.0,47448.96266214978,47332.873622844745,47404.44778836617,47448.775321320165,24.0,12.393270821197802,40.927656202289654,63.819526931853034,32.82658223614271
26,47568.0,47462.826021229346,47558.16939327075,47522.4912094811,47489.24066962231,208.0,14.922093370987568,176.14273677973688,95.28902585549076,36.52738178326399
27,47712.0,47478.806848891756,47685.15909640422,47595.02584007715,47521.83008488669,-16.0,16.59785506850676,-7.214814845439832,14.047550634615618,23.08091950871676
28,47536.0,47496.02173136636,47543.73976357987,47550.58631075033,47535.402508639745,-120.0,17.384304142775363,-102.7205149249894,-37.14637395164755,13.542549185040116
29,47472.0,47513.57545717731,47479.71806655424,47520.733092173854,47548.91518325677,-24.0,17.290543004055507,-25.43136425444027,-5.486672489547345,17.358433779867482
30,47488.0,47530.60281737447,47492.87703507099,47539.61296577124,47570.11937619948,24.0,16.3463334890439,37.54414387168072,44.6863564829946,25.31016175268087
31,47520.0,47546.268124155395,47554.8063542976,47610.10580513984,47599.535506762135,280.0,14.5748219770976,235.96109071461615,115.54574193853477,33.392905900760525
32,48048.0,47559.752461328666,47964.79921650022,47770.70444964831,47636.905188001,-16.0,11.988939467883029,-6.011055296286941,21.950869332613365,16.814940638912958
33,47488.0,47570.24600309116,47542.78424370503,47654.00754380507,47633.16538803996,-200.0,8.604964732123335,-148.0937542700667,-33.69313394069832,3.5184694409617805
34,47648.0,47576.96239079291,47668.61170796009,47703.31818176691,47643.942126882925,296.0,4.4732669832519605,228.88600405550824,76.96972884528805,10.573845187111147
35,48080.0,47579.192537057665,48000.556251816044,47807.947001495646,47654.31307841418,-104.0,-0.28975649777567014,-78.13485125430452,-31.397679523433908,-10.913394548035285
36,47440.0,47576.38287779736,47512.34200545148,47640.52282272004,47622.115337786854,-120.0,-5.4804991235942,-113.64356491667786,-67.16276741558613,-23.091973737984517
37,47840.0,47568.231538810476,47773.26912198269,47673.621466664474,47608.129130938214,-80.0,-10.8031081701738,-72.72727355535972,-50.090622723328124,-25.57975030173111
38,47280.0,47554.776661457014,47366.88745834076,47540.341577273386,47570.95583718339,32.0,-15.9028429840655,30.15845718223136,-3.1091007543982414,-22.625501895650814
39,47904.0,47536.425852842345,47833.58603634715,47667.40326515568,47562.87812714691,160.0,-20.403825567460444,112.52593062176675,8.7633204601334,-25.13380367913487
40,47600.0,47513.96901032209,47591.93931958429,47557.86821819365,47520.68822982512,-352.0,-23.957130050112028,-281.9501188413851,-130.60093786519428,-46.155485830535326
41,47200.0,47488.51159274212,47269.68579866438,47406.20138942529,47470.56715548584,64.0,-26.298095977548655,26.17547240199565,-48.56613405572352,-36.59271656498822
42,47728.0,47461.372818366995,47644.290264388284,47460.735950082206,47447.502796695146,-160.0,-27.283978399565967,-148.59361081328097,-79.09746430198356,-37.08921895593812
43,46880.0,47433.94363594299,46972.49857703782,47248.00646082132,47396.388717573966,-32.0,-26.904397349702776,-30.856421512915404,-28.726258850219892,-25.29464324248329
44,47664.0,47407.56402366759,47582.57742136245,47403.283432381766,47396.91351021018,160.0,-25.269428635558143,129.17296896703192,24.918687751331163,-12.829531853276421
45,47200.0,47383.40477867187,47230.84451497188,47297.843836323984,47370.72965386741,-256.0,-22.56984168112467,-197.5103315311535,-56.517677895793895,-17.647373649393558
