distance,Raw,Median+Gaussian,Huber MRF lambda=0.1,Huber MRF lambda=1,Huber MRF lambda=10,derivative:Raw,derivative:Median+Gaussian,derivative:Huber MRF lambda=0.1,derivative:Huber MRF lambda=1,derivative:Huber MRF lambda=10
0,51344.0,51722.212333773845,51340.32412067961,51458.08226094219,51710.755180237786,-96.0,9.580326567411248,-36.758793203953246,114.08226094218844,36.6755180237742
1,51248.0,51731.792660341256,51303.565327475655,51572.16452188438,51747.43069826156,624.0,13.83159286389855,573.9484941797782,276.1645218843805,61.64705293685256
2,52592.0,51749.87551950164,52488.221109039165,52010.41130471095,51834.04928611149,208.0,21.34334704576395,215.3273041421853,147.45243518204734,48.721052155509824
3,51664.0,51774.479354432784,51734.219935760026,51867.06939224847,51844.87280257258,-336.0,26.564243498378346,-285.3481218673369,-41.80721633824214,19.867156589712977
4,51920.0,51803.0040064984,51917.52486530449,51926.796872034465,51873.78359929092,216.0,29.04765818263695,170.92925606693825,63.1259158032226,26.599976682886336
5,52096.0,51832.57467079806,52076.0784478939,51993.32122385492,51898.07275593835,72.0,28.71013775427855,58.945822058904014,15.184963747909933,14.392794444353058
6,52064.0,51860.424282006956,52035.4165094223,51957.166799530285,51902.56918817962,-200.0,25.800664568574575,-183.57939136009736,-89.57102455948916,-3.5751083497489162
7,51696.0,51884.17599993521,51708.91966517371,51814.17917473594,51890.922539238854,-312.0,20.808505270466412,-261.8985183800396,-83.89803742637741,-1.9005219788268732
8,51440.0,51902.04129254789,51511.61947266222,51789.37072467753,51898.76814422197,376.0,14.390110340289539,335.33969150745907,149.87691228035328,30.784012194213574
9,52448.0,51912.956220615786,52379.599048188626,52113.932999296645,51952.49056362728,400.0,7.273722537102003,351.4322957616823,157.52877426743726,28.94694758667538
10,52240.0,51916.58873762209,52214.484064185584,52104.428273212405,51956.66203939532,-368.0,0.1632204531415482,-292.694663075119,-77.29058947803787,-9.995422262192733
11,51712.0,51913.28266152207,51794.20972203839,51959.35182034057,51932.499719102896,8.0,-6.319394598387589,-9.225731955259107,-21.400542701547238,-13.137334337283392
12,52256.0,51903.94994842532,52196.032600275066,52061.62718780931,51930.38737072075,144.0,-11.65168414432992,101.98587961203157,5.088961373392522,-18.392979846103117
13,52000.0,51889.97929323341,51998.18148126245,51969.529743087354,51895.71375941069,-248.0,-15.449815515399678,-206.9437127003839,-107.3325731782752,-39.88792333952733
14,51760.0,51873.05031739452,51782.1451748743,51846.96204145276,51850.6115240417,-112.0,-17.505234121483227,-105.3104320166749,-79.08668090821084,-40.57165916690792
15,51776.0,51854.96882499044,51787.5606172291,51811.35638127093,51814.570441076874,88.0,-17.772362820465787,63.21852850029245,-17.927469546360953,-34.11256091098039
16,51936.0,51837.50559175359,51908.58223187488,51811.10710236004,51782.38640221974,8.0,-16.37222181693869,-16.06722597978296,-62.6957277308793,-39.864718746150174
17,51792.0,51822.224381356566,51755.426165269535,51685.964925809174,51734.84100358457,-408.0,-13.586381153370894,-350.56009848938265,-178.15971364628058,-50.403348455933155
