method,images,noise_mad_median,noise_mad_mean,rmse_from_raw_median,images_with_candidate,candidate_rate,candidate_position_median,candidate_position_std,total_candidates,interpretation
Raw,61,225.3552,228.46622950819673,0.0,61,1.0,364.0,306.7553362768425,282,candidate_only_not_PD
Median+Gaussian,61,15.414123325653497,15.187581034383628,328.40447517776676,61,1.0,364.0,125.20256309663209,291,candidate_only_not_PD
Huber MRF lambda=0.1,61,199.52972620660455,200.00689800621709,47.24399876801275,61,1.0,363.0,287.1045484981766,325,candidate_only_not_PD
Huber MRF lambda=1,61,97.28739937616083,98.595479936673,194.38180964519094,61,1.0,363.0,207.00199610331097,310,candidate_only_not_PD
Huber MRF lambda=10,61,28.50021398442833,28.661478376408102,292.95281265168353,61,1.0,363.0,133.4687411504424,308,candidate_only_not_PD
