Raw_Intensity,Median_Intensity,Median_Gaussian_Intensity
1254.0,1254.0,7187.39367347295
1721.8,1721.8,7538.672576575619
2657.4,2657.4,8220.668121755567
3652.6,3652.6,9193.826806576335
6618.0,6618.0,10402.698496469671
10181.0,10181.0,11780.344001275233
14102.4,14102.4,13253.704815579995
17306.6,17306.6,14749.473821218524
19874.4,19874.4,16199.808153422633
22531.8,22531.8,17547.21922407831
24123.8,23417.2,18748.057888894837
23616.4,23527.0,19774.235627267186
23417.2,23527.0,20613.11569862422
23527.0,23417.2,21265.67432787965
22691.0,23128.8,21743.720286656342
23089.0,23128.8,22066.446251095713
23128.8,23089.0,22257.070388655946
23168.6,23089.0,22340.013497746993
22641.2,23019.2,22338.841667113513
23019.2,22641.2,22275.12013248961
22233.2,22233.2,22167.855877175578
22233.0,22233.0,22033.579300778852
22133.6,22133.6,21886.641662766677
21536.6,21536.6,21739.577470183296
21068.6,21068.6,21603.361861061538
20859.6,21048.8,21487.452525436704
20800.2,20859.6,21399.73039317009
21048.8,20800.2,21346.229648948352
20272.4,20541.0,21330.862486418453
20133.4,20412.0,21355.185743371774
20541.0,20412.0,21418.330216626397
20412.0,20541.0,21517.15818077802
22133.6,21755.4,21646.57253850218
21865.0,21865.0,21800.043533727836
21755.4,22133.6,21970.239570162896
22282.8,22282.8,22149.646030268028
22561.6,22512.0,22331.11308560831
22512.0,22561.6,22508.31229440711
22621.4,22621.4,22676.018278875683
23507.0,23347.8,22830.271831485592
23347.8,23397.4,22968.42309143307
23397.4,23497.0,23089.087444613924
23825.6,23497.0,23192.047981547417
23497.0,23497.0,23278.118868381993
23497.0,23497.0,23348.957892755323
23556.8,23497.0,23406.844733781254
23238.2,23497.0,23454.460323245654
23457.2,23556.8,23494.6609948515
23875.4,23507.2,23530.23261095894
23686.2,23507.2,23563.69371559199
23507.2,23676.2,23597.10875206467
23437.2,23507.2,23631.965793857446
23676.2,23437.2,23669.104604361324
23417.2,23437.2,23708.702178121024
23407.2,23676.2,23750.38561893583
23965.0,23934.8,23793.302180595645
23934.8,23965.0,23836.337411914195
24193.8,23994.6,23878.295674583896
23994.6,23994.6,23918.101911814414
24044.4,24044.4,23954.929627906015
23895.0,24044.4,23988.302218828037
24263.2,24044.4,24018.130555319818
24124.2,24124.0,24044.648518309674
23725.8,24124.0,24068.35966340426
24124.0,24054.4,24089.94483000859
23885.2,24054.4,24110.1592554936
24054.4,24124.0,24129.750417692005
24273.4,24173.8,24149.371179727477
24173.8,24174.0,24169.50666400286
24223.4,24174.0,24190.41144543232
24174.0,24173.8,24212.054246316027
23785.6,24174.0,24234.09141909632
24124.2,24174.0,24255.883392886975
24303.0,24193.8,24276.531013208896
24382.8,24303.0,24295.00597587332
24193.8,24382.8,24310.281392967572
24671.6,24591.8,24321.498246205723
24591.8,24591.8,24328.100138613016
24631.4,24591.8,24329.90985655401
23915.0,24263.6,24327.154916031126
24263.6,24263.6,24320.394405095325
23805.6,24263.6,24310.408031434716
24531.8,24263.6,24298.035718297408
24313.2,24223.4,24284.054284168484
24223.4,24313.2,24269.107591621938
23606.4,24223.4,24253.693423786994
24890.2,24223.4,24238.227777272554
24124.2,24233.6,24223.159494762367
24263.4,24263.4,24209.102590281647
24233.6,24263.4,24196.898948647326
24641.6,24263.4,24187.65222125195
24263.6,24233.6,24182.647522341926
23795.6,24143.8,24183.18993334272
23507.0,23805.8,24190.397097455534
24143.8,23805.8,24204.98684124298
23805.8,23925.0,24227.108820711896
23925.0,24143.8,24256.28469554043
24452.2,24343.0,24291.457045276813
24343.0,24352.8,24331.151973304324
24352.8,24452.2,24373.69585423829
25049.8,24462.4,24417.4535314213
24671.4,24671.4,24460.999661803704
24462.4,24671.4,24503.226801561897
24900.2,24542.2,24543.333945320817
24542.2,24522.0,24580.743698290735
24482.4,24522.0,24614.973919496108
24522.0,24522.0,24645.553904708973
24412.6,24522.0,24671.965282719608
24950.2,24950.2,24693.698077210796
25208.8,24950.2,24710.342925238052
24990.0,24990.0,24721.74266839636
24810.8,24990.0,24728.10182205932
24990.0,24810.8,24730.06800007008
24133.8,24621.6,24728.70336228384
24522.0,24621.6,24725.4024644079
24621.6,24621.6,24721.730752116564
24631.4,24631.4,24719.26942114637
25228.6,24691.2,24719.443876664518
24691.2,24691.2,24723.417807223563
24900.2,24691.2,24732.010467479362
24193.6,24631.6,24745.670017571138
24442.8,24631.6,24764.50656883907
24631.6,24631.6,24788.30447586377
24711.2,24711.2,24816.6032032726
25099.4,24910.2,24848.734873316087
24910.2,24910.2,24883.87672922911
24999.8,24999.8,24921.08663700081
24522.2,24910.2,24959.337442312397
25487.2,24999.8,24997.54660912501
24562.0,24920.2,25034.607975338342
25069.4,25069.4,25069.483847694024
24920.2,25069.4,25101.26926770614
25387.8,25338.0,25129.31438313145
25427.8,25387.8,25153.336350433612
25338.0,25387.8,25173.45513689507
25736.4,25338.0,25190.217480110456
25308.4,25308.4,25204.511727329347
25019.8,25029.6,25217.438629391054
24671.4,25019.8,25230.108645026783
25029.6,25019.8,25243.513180115504
24910.2,25029.6,25258.374189252718
25437.6,25437.6,25275.105729864325
25626.8,25437.6,25293.81005753874
25676.6,25437.6,25314.339444483612
25338.2,25338.2,25336.354518434895
25218.8,25338.2,25359.382051472316
25039.6,25218.8,25382.847211046595
25417.6,25218.8,25406.088095291205
25019.6,25417.6,25428.380775011443
25666.6,25517.4,25448.975696225054
25517.4,25666.6,25467.176255094324
25905.8,25666.6,25482.415139830206
25716.4,25517.4,25494.351258747127
25467.6,25716.4,25502.930195868925
25368.2,25467.6,25508.419109181672
25865.6,25467.6,25511.37383998112
25328.4,25388.0,25512.575297675994
25716.4,25716.4,25512.940283156073
25388.0,25388.0,25513.416780949272
25736.4,25517.4,25514.87535656282
25198.8,25447.8,25518.019083253952
25517.4,25517.4,25523.322455844616
25447.8,25447.8,25530.974529006322
25547.2,25447.8,25540.883663716588
25397.8,25447.8,25552.676335038137
25418.0,25547.2,25565.76526323219
25696.4,25577.0,25579.433204165394
25577.0,25696.4,25592.950426312935
25696.6,25696.6,25605.678028834674
25716.2,25696.6,25617.17113433987
25855.8,25696.6,25627.24423241805
25587.2,25716.2,25635.973066395913
25368.2,25587.2,25643.66623899292
25736.4,25587.2,25650.788087329143
25567.2,25616.8,25657.86553005439
25676.6,25676.6,25665.42056370621
25616.8,25616.8,25673.876201154566
26204.0,25616.8,25683.562085851965
25537.2,25616.8,25694.695645065316
25597.0,25825.8,25707.438637084964
25825.8,25716.4,25721.895957303586
25845.6,25736.2,25738.18696692849
25716.4,25736.2,25756.41912672883
25736.2,25736.2,25776.666178259504
25626.8,25736.2,25798.90336586925
25855.6,25756.2,25822.929167354207
25855.8,25786.0,25848.278408679493
25756.2,25855.6,25874.18768890868
25786.0,25855.8,25899.56183405852
26104.6,25875.8,25923.05365570949
25875.8,25994.8,25943.17294119069
26333.6,26104.6,25958.46411383059
25994.8,26184.0,25967.698879341184
26184.0,26184.0,25970.085375697803
26273.8,26184.0,25965.41904828103
25616.8,26184.0,25954.189199078988
26413.0,25905.6,25937.5877088944
25905.6,25905.6,25917.43790172594
25407.8,25905.6,25896.028266428948
26273.6,25905.6,25875.894306467282
25686.4,25686.4,25859.54741071148
26970.4,25686.4,25849.21534658998
25447.6,25686.4,25846.568264320078
25497.4,25557.4,25852.56260510159
25686.6,25557.4,25867.335717799902
25557.4,25686.6,25890.217961907845
26492.6,25716.2,25919.856938220157
25716.2,26144.2,25954.445147986182
26144.2,26144.2,25991.97879898913
26253.8,26144.2,26030.540649325518
25895.4,26144.2,26068.522837477678
26651.8,26253.8,26104.798733472915
25885.6,26174.2,26138.749424570775
26831.0,26174.2,26170.241534106124
26174.2,26174.2,26199.481670854024
26134.4,26223.8,26226.853334293177
26223.8,26223.8,26252.73641843245
26253.8,26253.8,26277.365766882805
26303.6,26253.8,26300.7159498462
26522.8,26303.6,26322.482768908783
26044.8,26353.4,26342.11811057065
26353.4,26522.8,26358.89801668617
26592.2,26353.4,26372.058512034026
26751.2,26413.2,26380.948116925316
25696.6,26592.2,26385.144703974234
26413.2,26632.0,26384.553933458283
26632.0,26413.2,26379.500936474684
26880.8,26413.2,26370.707726401306
26024.8,26373.0,26359.249758884922
26373.0,26373.0,26346.50816624851
25567.0,26144.4,26334.02406144646
26463.0,26373.0,26323.402566688303
26144.4,26144.4,26316.191135243935
26413.0,26283.6,26313.7692353343
25696.4,26273.6,26317.216849828626
26283.6,26273.6,26327.209534514153
26273.6,26164.2,26343.927063250612
26164.2,26164.2,26366.967846243915
25855.8,26164.2,26395.336041646307
25935.4,26164.2,26427.528092878994
26582.2,26582.2,26461.65507738766
26652.0,26582.2,26495.666509065086
27119.6,26652.0,26527.612114861593
26064.6,26960.4,26555.873568599694
26960.4,26960.4,26579.351512692934
27269.2,26462.6,26597.56568184482
26293.6,26662.0,26610.63486149329
26462.6,26662.0,26619.152834053333
26662.0,26462.6,26624.009370768013
27000.2,26662.0,26626.202228526363
25656.6,26662.0,26626.666798925733
27308.4,26612.2,26626.17761466693
26612.2,26552.6,26625.306397325538
26273.6,26612.2,26624.481233144517
26552.6,26612.2,26624.025366637303
27090.0,26552.6,26624.261711473944
26890.6,26890.6,26625.538786843845
26313.4,26890.6,26628.225657954543
27308.8,26403.0,26632.633768719705
26333.2,26403.0,26638.95736564815
26403.0,26403.0,26647.151292296432
26811.2,26403.0,26656.89270011541
26373.2,26811.2,26667.61171924003
26831.0,26831.0,26678.560449615237
27189.4,26831.0,26688.96919005875
26910.6,26831.0,26698.23780079871
26831.0,26831.0,26706.080662510663
26622.2,26691.8,26712.609771348667
26691.8,26691.8,26718.39553483729
26681.8,26691.8,26724.37904661196
26761.4,26701.8,26731.731969120396
27288.8,26701.8,26741.683246006418
26701.8,26701.8,26755.294378476323
26433.0,26701.8,26773.265793883897
26552.2,26552.2,26795.786443359255
27010.0,26552.2,26822.437906839947
26532.4,26731.4,26852.21832563641
27438.2,27010.0,26883.63118204404
26731.4,26831.0,26914.878988212215
27408.4,27179.2,26944.096956416863
26831.0,27179.2,26969.592606273472
27179.2,27179.2,26990.08472968111
27199.2,27179.2,27004.845838440655
26642.0,27179.2,27013.759889165784
27308.6,27020.0,27017.296761490405
26771.2,26980.2,27016.37047655316
27020.0,27020.0,27012.174800642653
26980.2,26980.2,27005.990239207775
27438.0,26980.2,26999.039833814677
26821.0,26920.8,26992.33426022005
26433.0,26920.8,26986.644639879545
26920.8,26920.8,26982.487114992713
27209.2,26920.8,26980.175777342454
27786.6,26960.4,26979.88456018995
26880.6,27209.2,26981.72454390789
26960.4,26960.4,26985.788286901818
27219.0,26880.6,26992.16813765536
26751.4,26960.4,27000.960808592714
26791.2,26860.8,27012.24769471335
27328.6,26860.8,27026.079234604542
26860.8,27070.0,27042.441538999992
28244.2,27159.4,27061.28068950524
27070.0,27110.0,27082.467093467465
27159.4,27110.0,27105.802075408697
27110.0,27110.0,27130.990573352297
26910.6,27110.0,27157.61166037472
27328.6,27110.0,27185.089462015323
26801.4,26910.6,27212.6926174342
27338.6,27328.6,27239.57003982241
26821.2,27338.6,27264.82918562036
27497.8,27497.8,27287.62706933549
27816.2,27497.8,27307.296467235697
27507.8,27497.8,27323.444607677375
27059.8,27328.6,27335.99677210379
27199.2,27328.6,27345.194475197062
27328.6,27328.6,27351.554486979316
27378.4,27328.6,27355.772000316567
27497.8,27378.4,27358.630470192446
27308.8,27378.4,27360.926409802294
27507.8,27308.8,27363.42294244993
27219.0,27308.8,27366.79677025603
27039.8,27438.0,27371.639646109285
27886.0,27368.2,27378.420568748632
27438.0,27368.2,27387.46442043024
27368.2,27368.2,27398.886015801643
27089.8,27308.4,27412.557572199614
27050.0,27308.4,27428.08963983471
27308.4,27288.8,27444.861181363176
27707.0,27308.4,27462.10835828469
27288.8,27696.6,27479.08638471669
28005.4,27696.6,27495.27949246284
27696.6,27637.2,27510.56137074612
27428.0,27696.6,27525.33742676625
27637.2,27637.2,27540.55949962858
27836.2,27428.0,27557.623514219453
27308.8,27607.2,27578.125703519338
27338.6,27338.6,27603.54483066489
27607.2,27308.8,27634.89801155861
27119.6,27338.6,27672.433944564895
27278.8,27567.4,27715.455282070314
27886.0,27567.4,27762.30830537115
27567.4,27886.0,27810.555540390895
28363.4,27886.0,27857.29595632266
28194.6,28194.6,27899.59172217352
27418.4,28303.8,27934.891229659428
28433.2,28303.8,27961.40108479179
28303.8,28303.8,27978.31914121014
28572.6,28303.8,27985.87943799471
27846.2,27925.8,27985.249032260992
27249.0,27846.2,27978.288186102156
27925.8,27846.2,27967.21331258492
27627.2,27895.8,27954.295538064092
27895.8,27895.8,27941.553296861795
28443.2,27866.0,27930.572598375733
27746.8,27866.0,27922.416132559458
27866.0,27866.0,27917.629244751886
27667.0,27746.8,27916.296273504897
28333.6,27866.0,27918.169186305873
27697.0,28015.4,27922.752976883727
28135.0,28015.4,27929.416872393704
28015.4,27905.8,27937.454486185998
27905.8,27926.0,27946.138474160172
27846.2,27905.8,27954.73997556781
27926.0,27905.8,27962.580520597992
27478.0,27926.0,27969.06552813311
28532.8,27975.4,27973.763007504283
27975.4,28224.2,27976.45382760247
28224.2,28224.2,27977.179871635395
28931.0,28015.4,27976.256254349883
