distance,Raw,Median+Gaussian,Huber MRF lambda=0.1,Huber MRF lambda=1,Huber MRF lambda=10,derivative:Raw,derivative:Median+Gaussian,derivative:Huber MRF lambda=0.1,derivative:Huber MRF lambda=1,derivative:Huber MRF lambda=10
0,32848.0,33168.18285088398,32847.712598107246,32849.52114839297,33062.79974158957,0.0,31.303644169136533,-2.874018927504949,1.5211483929597307,21.47997415895952
1,32848.0,33199.48649505312,32844.83857917974,32851.04229678593,33084.27971574853,-24.0,46.48686760012788,-18.681123028818547,3.0422967859267374,33.29395994638253
2,32800.0,33261.15658608424,32810.35035204961,32855.60574196482,33129.38766148234,16.0,75.89685669046594,17.263533117900806,32.36631616130762,61.57732880792537
3,32880.0,33351.28020843405,32879.36564541554,32915.77492910854,33207.434373364384,64.0,102.88346872405964,65.8435204436355,78.05665169799249,94.41843055026402
4,32928.0,33466.92352353236,32942.03739293688,33011.719045360805,33318.22452258287,144.0,126.42559178800366,144.31717850304267,137.80363893266258,130.30137534762616
5,33168.0,33604.13139201006,33168.00000242163,33191.38220697387,33468.037124059636,256.0,145.54803105418614,248.9813027576638,214.14087953969647,164.81445767974947
6,33440.0,33758.01958564073,33439.99999845221,33440.0008044402,33647.853437942365,328.0,159.43166797572485,327.99999904278957,316.3081884869971,190.20898577984917
7,33824.0,33922.99472796151,33824.00000050721,33823.99858394786,33848.455095619334,328.0,167.54122102228212,328.0000007338713,328.00032456345434,224.06043177925312
8,34096.0,34093.102027685294,34095.99999991995,34096.00145356711,34095.97430150087,416.0,169.73578825583172,415.99999969208875,415.99992514601036,284.97962870602714
9,34656.0,34262.46630447317,34655.999999891385,34655.99843423988,34418.41435303139,448.0,166.32493865139259,438.16105419044834,388.2819856955648,250.86304211131937
10,34992.0,34425.75190498808,34972.32210830085,34872.56542495824,34597.70038572351,160.0,158.049548554005,161.29444011592932,150.08853022928452,159.57105197830242
11,34976.0,34578.56540158118,34978.58888012324,34956.17549469845,34737.55645698799,8.0,145.98752033524943,19.211172438630456,73.69781708944356,127.93389411387761
12,35008.0,34717.72694565858,35010.74445317811,35019.961059137124,34853.568173951266,40.0,131.4071735237194,45.87783894542008,69.76609400723464,108.29012566083838
13,35056.0,34841.37974862862,35070.34455801408,35095.70768271292,34954.13670830967,160.0,115.6048095546721,142.96770666116208,95.60046493225309,95.47536977388881
14,35328.0,34948.93656476792,35296.67986650043,35211.16198900163,35044.51891349904,56.0,99.738756966246,58.08982923372969,57.03530078952099,76.20815086432412
15,35168.0,35040.85726256111,35186.52421648154,35209.77828429196,35106.55301003832,-32.0,84.70512209177832,-17.534567611179227,19.505437436317152,58.96174704119039
16,35264.0,35118.34680895148,35261.61073127807,35250.172863874264,35162.442407581424,80.0,71.07553872822245,63.14017118687843,33.481011519434105,50.81151792217861
17,35328.0,35183.00834001756,35312.8045588553,35276.74030733083,35208.176045882676,-32.0,59.09459591595078,-24.78337814628685,0.9375971219778876,39.742440595382504
18,35200.0,35236.53600078338,35212.0439749855,35252.04805811822,35241.92728877219,-56.0,48.73222986674591,-40.54070894230972,1.3317798464995576,35.84760732812356
19,35216.0,35280.47279975105,35231.72314097068,35279.40386702383,35279.87126053892,112.0,39.76314894617826,98.29487083860295,59.057742417520785,41.13753479368097
20,35424.0,35316.06229867574,35408.633716662705,35370.16354295326,35324.20235835955,112.0,31.864490516607475,100.0791590055378,63.8414474060628,39.34121573860466
21,35440.0,35344.201780784264,35431.881458981756,35407.086761835955,35358.55369201613,-32.0,24.71008525207435,-17.34496277215294,20.466599800674885,30.27901825738809
22,35360.0,35365.482469179886,35373.9437911184,35411.09674255461,35384.76039487433,8.0,18.049825018882984,11.78128772863056,29.558351995961857,27.444722601911053
23,35456.0,35380.30143082203,35455.44403443902,35466.20346582788,35413.443137219954,80.0,11.753553895945515,78.72041551571965,60.20845618720341,26.55489920662876
24,35520.0,35388.98957697178,35531.38462214984,35531.51365492902,35437.870193287585,152.0,5.818062957154325,132.86369846003436,71.06701656564474,20.3205657320068
25,35760.0,35391.93755673634,35721.171431359086,35608.33749895917,35454.08426868397,-8.0,0.3527447909800685,-4.356033995340113,0.9925935097417096,0.9182888305804227
26,35504.0,35389.69506655374,35522.67255415916,35533.4988419485,35439.706770948746,-120.0,-4.453874042257667,-105.13610640413026,-60.089236036423245,-17.592159187785
27,35520.0,35383.02980865182,35510.899218550825,35488.15902688632,35418.8999503084,-48.0,-8.398549479356006,-57.27724285423028,-61.26030161901508,-25.86182312492747
28,35408.0,35372.897967595025,35408.1180684507,35410.97823871047,35387.98312469889,-112.0,-11.322385848678095,-102.19080784661855,-75.69166882061108,-31.917669374564866
