distance,Raw,Median+Gaussian,Huber MRF lambda=0.1,Huber MRF lambda=1,Huber MRF lambda=10,derivative:Raw,derivative:Median+Gaussian,derivative:Huber MRF lambda=0.1,derivative:Huber MRF lambda=1,derivative:Huber MRF lambda=10
0,32848.0,33588.07617332662,32850.71878914033,32873.45758130393,33248.530505729235,32.0,58.77851660930901,27.187891403336835,25.457581303926418,40.05305057291844
1,32880.0,33646.85468993593,32877.90668054367,32898.91516260785,33288.583556302154,16.0,86.92450429849487,16.72129412164577,34.915162607852835,60.48222838803122
2,32880.0,33761.92518192361,32884.16137738362,32943.28790651963,33369.4949625053,16.0,140.7679106527139,27.06158375805171,76.01669717159893,105.38615432840379
3,32912.0,33928.390511241356,32932.02984805977,33050.94855695105,33499.35586495896,208.0,188.592128846376,205.9193115715898,177.13492890694033,159.22869570161492
4,33296.0,34139.10943961636,33296.0000005268,33297.55776433351,33687.95235390853,400.0,228.30866694766155,389.9850758024404,330.52570546151765,208.19410664499082
5,33712.0,34385.00784513668,33711.99999966465,33711.999967874086,33915.74407824894,576.0,258.2342146165065,575.9999997934319,575.2211334637104,380.0352782536538
6,34448.0,34655.577868849374,34448.000000113665,34448.00003126093,34448.022910415835,616.0,277.2682347315167,616.0000001458357,616.0000056868375,514.1183824751097
7,34944.0,34939.54431459971,34943.99999995632,34943.99997924776,34943.98084319916,768.0,285.041478499541,758.9930435313327,731.9721601351084,643.0590728223942
8,35984.0,35225.660825848456,35965.98608717633,35911.94435153115,35734.141056060624,536.0,281.9974001780138,545.0069564357509,572.0278369566513,506.6704129971695
9,36016.0,35503.53911495574,36034.013912827824,36088.055653161064,35957.3216691935,320.0,269.36542782799006,316.237305438819,287.0684945932335,220.24669659255233
10,36624.0,35764.391681504436,36598.46069805397,36486.08134071762,36174.63444924573,280.0,249.02618046852513,278.610359847793,254.1369915325704,194.84450251450835
11,36576.0,36001.59147589279,36591.23463252341,36596.329636226204,36347.01067422252,56.0,223.27050451669493,68.94709708647497,120.41311362168926,160.9267586879214
12,36736.0,36210.932690537826,36736.35489222692,36726.907567960996,36496.48796662157,160.0,194.5300256222581,146.89472083811415,126.03171571528583,137.50169073012876
13,36896.0,36390.65152713731,36885.02407419964,36848.393067656776,36622.014055682776,88.0,165.08205828629798,93.78955297093125,97.68203352417186,111.82679184534209
14,36912.0,36541.09680711042,36923.93399816878,36922.27163500934,36720.141550312255,104.0,136.8248036409641,98.57991481305362,79.01438485722974,88.53457214509399
15,37104.0,36664.301134419235,37082.183903825746,37006.421837371236,36799.08319997296,56.0,111.13203079685627,49.16942478571218,35.36112104751737,63.69580965935893
16,37024.0,36763.360868704134,37022.272847740205,36992.993877104374,36847.53316963097,-80.0,88.7893270734894,-68.54681738450381,-28.93102171467035,39.62662813955467
17,36944.0,36841.87978856621,36945.09026905674,36948.559793941895,36878.33645625207,-72.0,70.04178025486544,-71.73123339976155,-42.1541861915357,27.52010943370624
18,36880.0,36903.444429213865,36878.81038094068,36908.6855047213,36902.573388498386,-88.0,54.6901443712195,-72.22798341263479,-25.53153685994039,25.36560167123025
19,36768.0,36951.26007730865,36800.63430223147,36897.496720222014,36929.06765959453,96.0,42.24137916728796,87.49060094124434,53.559575611714536,34.54765407587183
20,37072.0,36987.92718754844,37053.79158282317,37015.80465594473,36971.66869665013,176.0,32.05826657173384,159.62002621443753,90.21026369508763,37.58447188810533
21,37120.0,37015.37661045212,37119.874354660344,37077.91724761219,37004.236603370744,72.0,23.50884384933306,65.45454513889854,41.071215473548364,26.779736889151536
22,37216.0,37034.94487524711,37184.70067310097,37097.94708689183,37025.22817042843,-136.0,16.083879972229624,-120.19549645706138,-38.996617274438904,11.452975579111808
23,36848.0,37047.54437039658,36879.48336174622,36999.92401306331,37027.14255452897,-144.0,9.463366949355986,-119.27532222109949,-22.061067296868714,10.871511826979258
24,36928.0,37053.87160914582,36946.15002865877,37053.82495229809,37046.97119408239,288.0,3.5373282629479945,254.47013003936445,116.81341538382912,25.77719925754718
25,37424.0,37054.619026922475,37388.42362182495,37233.55084383097,37078.69695304406,176.0,-1.6129292528494261,167.33838245793595,84.501313448367,14.460606613869459
26,37280.0,37050.64575064012,37280.82679357464,37222.827579194825,37075.89240731013,-120.0,-5.781553427459585,-103.46286037711616,-39.3094750387354,-13.009925368420227
27,37184.0,37043.055920067556,37181.49790107072,37154.9318937535,37052.67710230722,-112.0,-8.728559009279707,-111.83938715033946,-82.42973856458048,-29.7814498875523
28,37056.0,37033.18863262156,37057.14801927396,37057.968102065664,37016.329507535025,-128.0,-10.277236757978244,-118.6097854269683,-95.97974065500239,-38.33111939544324
29,36928.0,37022.5014465516,36944.27833021678,36962.972412443494,36976.014863516335,-16.0,-10.377493821917597,-31.4780379732656,-77.50948340041941,-37.91390084287195
30,37024.0,37012.433644977726,36994.19194332743,36902.949135264826,36940.50170584928,-176.0,-9.166538965157088,-173.19677128375042,-120.54870954625949,-39.68807237459259
