distance,Raw,Median+Gaussian,Huber MRF lambda=0.1,Huber MRF lambda=1,Huber MRF lambda=10,derivative:Raw,derivative:Median+Gaussian,derivative:Huber MRF lambda=0.1,derivative:Huber MRF lambda=1,derivative:Huber MRF lambda=10
0,32912.0,34695.692894522814,32913.330319953595,32942.31676104379,33666.45340401722,16.0,144.31834983504086,13.303199535926979,30.316761043788574,75.44534040171857
1,32928.0,34840.011244357855,32926.63351948952,32972.63352208758,33741.89874441894,0.0,213.37366470691632,6.470796983518085,52.63352208757351,116.14027762267142
2,32912.0,35122.440223936646,32926.27191392063,33047.583805218936,33898.733959262565,56.0,345.36052861469216,70.99796403423898,142.74218574082988,206.17191280674888
3,33040.0,35530.73230158724,33068.629447558,33258.11789356924,34154.24257003244,496.0,462.3032530587261,488.86404321606824,428.2081199957065,311.22073927149177
4,33904.0,36047.0467300541,33904.00000035277,33904.00004521035,34521.17543780555,1056.0,559.0120825550948,1041.6852761287992,946.9410430643547,498.89057221393887
5,35152.0,36648.75646669743,35151.9999998156,35151.99997969795,35152.023714460316,1472.0,631.3178265624338,1471.999999856038,1471.9999792751005,1163.405627883818
6,36848.0,37309.682383178966,36848.00000006484,36848.00000376055,36847.986693573184,1512.0,676.523890748369,1512.0000000802793,1512.0000187364894,1511.992049540091
7,38176.0,38001.80424819417,38175.99999997616,38176.000017170925,38176.0078135405,1568.0,693.7894410300105,1567.9999999643878,1567.999918400692,1568.0048022874107
8,39984.0,38697.26126523899,39983.99999999362,39983.99984056193,39983.996298148006,1528.0,684.324206231362,1527.9999999910688,1528.0004352925498,1385.4625562666188
9,41232.0,39370.45266065689,41231.999999958294,41232.000887756025,40946.932926073736,896.0,651.318747481022,896.0000004093126,895.9993364164729,681.5408920294867
10,41776.0,39999.89876020103,41776.000000812244,41775.99851339488,41347.07808220698,520.0,599.5739552414052,519.9999987920419,495.7292590113211,378.69906024359443
11,42272.0,40569.6005711397,42271.99999754238,42223.45940577867,41704.331046560925,488.0,534.9195207254052,485.9007335820861,413.7857838173004,328.8695166819889
12,42752.0,41069.73780165184,42747.80146797642,42603.57008102948,42004.81711557096,472.0,463.4769647425237,431.23407228729775,305.8957157655568,263.12692478857934
13,43216.0,41496.55450062475,43134.46814211697,42835.25083730978,42230.58489613808,-56.0,390.92515691443987,-39.66676002319946,41.3061749351873,176.49702537403573
14,42640.0,41851.58811548072,42668.46794793002,42686.182430899855,42357.81116631903,-344.0,321.9474258933369,-304.98630978822985,-125.97719095999855,113.11682849689169
15,42528.0,42140.44935241142,42524.495522540514,42583.296455389784,42456.81855313187,-176.0,259.857640966311,-161.49481268694944,-75.23774781517568,95.44831446943499
16,42288.0,42371.30339741334,42345.47832255612,42535.7069352695,42548.7077952579,112.0,206.48240327122403,108.37441279619816,76.26394751447151,104.92463188892361
17,42752.0,42553.41415895387,42741.24434813291,42735.82435041873,42666.667816909714,392.0,162.29036360198734,341.98776624135644,192.0295903585902,113.69341249730132
18,43072.0,42695.88412461732,43029.45385503883,42919.766115986684,42776.0946202525,48.0,126.67078439447505,75.4787821000973,107.82482356129549,94.63153435541244
