method,images,noise_mad_median,noise_mad_mean,rmse_from_raw_median,images_with_candidate,candidate_rate,candidate_position_median,candidate_position_std,total_candidates,interpretation
Raw,61,225.3552,219.52201967213114,0.0,58,0.9508196721311475,891.5,295.79138895315174,221,candidate_only_not_PD
Median+Gaussian,61,13.605620765475084,13.494751773700498,302.7825566552027,59,0.9672131147540983,1050.0,87.32315242993485,230,candidate_only_not_PD
Huber MRF lambda=0.1,61,193.48428343435876,191.21555507476256,45.95303441004828,59,0.9672131147540983,911.0,277.69052172272546,263,candidate_only_not_PD
Huber MRF lambda=1,61,94.76735437325213,93.9677221841764,188.24213034532835,60,0.9836065573770492,1048.0,285.21550137084455,255,candidate_only_not_PD
Huber MRF lambda=10,61,26.84601672036184,26.310612476741397,273.7780063311721,61,1.0,1050.0,165.88217665918785,285,candidate_only_not_PD
