angle_deg,image_index,image,method,rmse_from_raw,mae_from_raw,residual_std,derivative_noise_mad,max_abs_derivative,max_abs_derivative_position,major_candidate_position,major_candidate_shift_from_median_gaussian,main_peak_prominence,main_peak_width,significant_peak_count,artificial_peak_suspect_count,assessment
102,17,img134449_ 17_102.tiff,Raw,0.0,0.0,0.0,237.21599999999998,800.0,129,129,-918,800.0,1.4973262032085586,2,0,candidate_only_not_PD
102,17,img134449_ 17_102.tiff,Median+Gaussian,328.1500658717972,254.99043307494608,328.10482530751364,13.473951155211044,85.63379853177685,1047,1047,0,85.39247205715947,8.761154180324752,6,0,candidate_only_not_PD
102,17,img134449_ 17_102.tiff,Huber MRF lambda=0.1,49.202108804589535,41.33965047537084,49.202108804589535,210.75468648018395,724.9847711657858,129,129,-918,722.8808390708837,1.439236958468868,2,0,candidate_only_not_PD
102,17,img134449_ 17_102.tiff,Huber MRF lambda=1,202.55679285686284,161.94672482221637,202.55679285686284,99.73024311109617,334.1782097824107,908,908,-139,334.0158240789242,2.1725391375404115,2,0,candidate_only_not_PD
102,17,img134449_ 17_102.tiff,Huber MRF lambda=10,296.5408679416419,236.0939617257941,296.5408679416419,27.68482608962995,134.84791150312958,1049,1049,2,134.63033459592043,8.326657605254809,4,0,candidate_only_not_PD
108,18,img134454_ 18_108.tiff,Raw,0.0,0.0,0.0,225.3552,768.0,1065,1065,18,768.0,1.3544973544974255,1,0,candidate_only_not_PD
108,18,img134454_ 18_108.tiff,Median+Gaussian,320.0909408576653,250.1367376963859,320.0731947278881,15.570750175432526,87.10183885896913,1047,1047,0,86.388553906796,9.77478654992376,5,0,candidate_only_not_PD
108,18,img134454_ 18_108.tiff,Huber MRF lambda=0.1,48.784541586432084,40.9882083019033,48.784541586432084,198.67527329729202,713.8694079964334,1065,1065,18,712.5037257686599,1.3593846005766181,3,0,candidate_only_not_PD
108,18,img134454_ 18_108.tiff,Huber MRF lambda=1,201.71878757463963,160.0058847463306,201.71878757463963,99.04134633601508,330.80884957491435,1065,1065,18,330.6967895323578,1.5138076943117085,3,0,candidate_only_not_PD
108,18,img134454_ 18_108.tiff,Huber MRF lambda=10,291.50473120127344,231.1431922187387,291.50473120127344,29.052273712798783,128.51762374403188,1048,1048,1,128.43230412163757,6.510424754412952,5,0,candidate_only_not_PD
114,19,img134459_ 19_114.tiff,Raw,0.0,0.0,0.0,177.91199999999998,576.0,127,127,-932,568.0,1.022058823529406,2,0,candidate_only_not_PD
114,19,img134459_ 19_114.tiff,Median+Gaussian,238.56724023082504,187.17813165368756,238.5146461689993,9.111636104529365,28.990544670890813,1059,1059,0,28.931535955554864,7.619831777333729,2,0,candidate_only_not_PD
114,19,img134459_ 19_114.tiff,Huber MRF lambda=0.1,37.84406143935692,31.851066776720785,37.84406143935692,154.43885664545257,508.3181187756527,127,127,-932,506.8869274137687,1.0614999121193023,3,0,candidate_only_not_PD
114,19,img134459_ 19_114.tiff,Huber MRF lambda=1,151.19456419978277,121.26965903434183,151.19456419978277,78.24583897278708,264.5806183636669,826,826,-233,264.214848256026,2.8603921210883527,2,0,candidate_only_not_PD
114,19,img134459_ 19_114.tiff,Huber MRF lambda=10,217.63651107883126,174.16790108865817,217.63651107883126,19.537142343256534,81.73085605826418,826,826,-233,81.67293560536564,3.4138844417558403,4,0,candidate_only_not_PD
120,20,img134504_ 20_120.tiff,Raw,0.0,0.0,0.0,166.0512,664.0,1104,1104,56,664.0,1.0993859649122442,6,0,candidate_only_not_PD
120,20,img134504_ 20_120.tiff,Median+Gaussian,231.945845401455,178.13402424581633,231.932891961087,11.744040521608266,40.70503750527496,1048,1048,0,40.66513397811286,8.27092638910949,3,0,candidate_only_not_PD
120,20,img134504_ 20_120.tiff,Huber MRF lambda=0.1,34.27969703051592,28.69082325236274,34.27969703051592,142.01219554148338,600.8302378518674,1104,1104,56,600.060750292163,1.117059839772537,5,0,candidate_only_not_PD
120,20,img134504_ 20_120.tiff,Huber MRF lambda=1,143.8206775682017,113.94340125417071,143.8206775682017,72.31078033524524,292.6205847869387,554,554,-494,292.58618581064366,2.48293105580899,3,0,candidate_only_not_PD
120,20,img134504_ 20_120.tiff,Huber MRF lambda=10,210.81398487429735,165.28576110433306,210.81398487429735,20.69166321407578,83.08815514714297,554,554,-494,83.03551721354233,3.0376946079569507,6,0,candidate_only_not_PD
126,21,img134508_ 21_126.tiff,Raw,0.0,0.0,0.0,213.49439999999998,1040.0,1048,1048,-11,1040.0,1.10747663551399,3,0,candidate_only_not_PD
126,21,img134508_ 21_126.tiff,Median+Gaussian,298.4963321384553,233.70167273252446,298.4823325713074,14.50416282444721,76.28424691311739,1059,1059,0,76.22973085967169,8.368382593530896,4,0,candidate_only_not_PD
126,21,img134508_ 21_126.tiff,Huber MRF lambda=0.1,44.669352447962225,37.12696938721969,44.669352447962225,180.23062827240028,961.88281074529,1048,1048,-11,961.7728444194872,1.1453536094229548,5,0,candidate_only_not_PD
126,21,img134508_ 21_126.tiff,Huber MRF lambda=1,182.00049906446836,144.66937322088233,182.00049906446836,92.75468277300557,527.0301303474916,1048,1048,-11,525.4958041002901,1.6562546152148343,6,0,candidate_only_not_PD
126,21,img134508_ 21_126.tiff,Huber MRF lambda=10,268.464600619031,213.81622397603124,268.46460061903093,26.914549146982612,158.14385951843724,1048,1048,-11,157.51165323903115,4.9599189339897976,4,0,candidate_only_not_PD
132,22,img134513_ 22_132.tiff,Raw,0.0,0.0,0.0,213.49439999999998,752.0,616,616,-444,752.0,1.2507002801121416,4,0,candidate_only_not_PD
132,22,img134513_ 22_132.tiff,Median+Gaussian,288.3673797206295,222.9122311361018,288.3551928232659,11.993636415030592,61.494754449384345,1060,1060,0,61.42370198129356,10.104084035661913,5,0,candidate_only_not_PD
132,22,img134513_ 22_132.tiff,Huber MRF lambda=0.1,42.0890123582659,35.63998081073035,42.0890123582659,194.86555960046257,681.8037214603937,616,616,-444,681.0611941652351,1.230346801865835,4,0,candidate_only_not_PD
132,22,img134513_ 22_132.tiff,Huber MRF lambda=1,179.83847743340417,141.91181206343617,179.83847743340417,90.50185640073094,327.9691556806865,1057,1057,-3,326.3732029724888,1.9688137321726344,2,0,candidate_only_not_PD
132,22,img134513_ 22_132.tiff,Huber MRF lambda=10,261.0057895790971,205.4671858505908,261.0057895790971,24.391833323939498,136.90794741182253,1060,1060,0,136.77155713259344,6.377187249033568,8,0,candidate_only_not_PD
138,23,img134518_ 23_138.tiff,Raw,0.0,0.0,0.0,213.49439999999998,752.0,1051,1051,-8,752.0,2.2443478260870506,5,0,candidate_only_not_PD
138,23,img134518_ 23_138.tiff,Median+Gaussian,290.64649571678774,226.38617120406798,290.63671271270374,14.728997713484947,85.43191441328236,1059,1059,0,85.18412548329434,8.252573967860712,4,0,candidate_only_not_PD
138,23,img134518_ 23_138.tiff,Huber MRF lambda=0.1,44.03615655144913,37.037119858826415,44.03615655144913,185.81337181183306,720.9882519845778,1051,1051,-8,720.4320776274508,2.275195078378715,3,0,candidate_only_not_PD
138,23,img134518_ 23_138.tiff,Huber MRF lambda=1,178.8145916943015,143.00883818990388,178.8145916943015,87.91465286172786,504.6370729918053,1051,1051,-8,504.47887179103054,2.5981616714800566,4,0,candidate_only_not_PD
138,23,img134518_ 23_138.tiff,Huber MRF lambda=10,262.5980561937865,209.56207637129754,262.5980561937865,26.73195436679918,167.89752436071285,1050,1050,-9,167.6862737954434,5.597355543178651,6,0,candidate_only_not_PD
144,24,img134522_ 24_144.tiff,Raw,0.0,0.0,0.0,237.21599999999998,832.0,1045,1045,-3,832.0,1.2619883040936202,2,0,candidate_only_not_PD
144,24,img134522_ 24_144.tiff,Median+Gaussian,342.5918881237003,267.89681001722516,342.57733846541635,16.05148408032561,107.57718890691103,1048,1048,0,106.351032207971,8.720998449209901,4,0,candidate_only_not_PD
144,24,img134522_ 24_144.tiff,Huber MRF lambda=0.1,54.04367334775896,45.39689806322168,54.04367334775896,214.37782276245875,747.193008636299,1045,1045,-3,747.1929943660034,1.258753181162433,2,0,candidate_only_not_PD
144,24,img134522_ 24_144.tiff,Huber MRF lambda=1,210.85428194797126,169.8635345982015,210.85428194797126,106.9360886503356,453.44479387857064,1048,1048,0,452.97038263424474,2.9006142663888568,4,0,candidate_only_not_PD
144,24,img134522_ 24_144.tiff,Huber MRF lambda=10,309.08716688901796,247.256598757489,309.08716688901796,29.624162713946657,195.43093364425658,1048,1048,0,194.4394852105288,6.246048332327405,4,0,candidate_only_not_PD
