Distance,Intensity,Derivative
0,7403.724890168207,439.47244894783034
1,7843.197339116037,646.8710759806627
2,8697.467042129532,1037.7149203514136
3,9918.627179818865,1370.5611145362718
4,11438.589271202076,1627.6115161689731
5,13173.85021215681,1796.6549028455165
6,15031.899076893109,1872.4887911090836
7,16918.827794374978,1857.684103459217
8,18747.267283811543,1762.35569215113
9,20443.539178677238,1602.8498017152306
10,21952.966887242004,1399.4713112488644
11,23242.481801174967,1173.6972056364557
12,24300.361298514916,945.4770871316068
13,25133.43597543818,731.0016255595547
14,25762.364549634025,541.4768242037298
15,26216.38962384564,382.92725291331953
16,26528.219055460664,256.7816718689337
17,26729.952967583507,161.06172876874916
18,26850.342512998162,91.6985228524918
19,26913.35001328849,43.75589919923732
20,26937.854311396637,12.369208864985922
21,26938.088431018463,-6.68675077052103
22,26924.480809855595,-16.759233916578523
23,26904.569963185306,-20.35556167622417
24,26883.769686503147,-19.325957186925734
25,26865.918048811454,-15.068274792005468
26,26853.633136919136,-8.706155353998838
27,26848.505738103457,-1.218930394099516
28,26851.195276130937,6.4527388683200115
29,26861.411215840097,13.434322416298528
30,26878.063920963534,18.95037407023483
31,26899.311963980566,22.409266125254362
32,26922.882453214042,23.545606667206812
33,26946.40317731498,22.405999519785837
34,26967.694452253614,19.341718931833384
35,26985.086615178647,14.963362104688713
36,26997.62117646299,10.039216654207848
37,27005.165048487062,5.379569252467263
38,27008.380314967926,1.7301519142911275
39,27008.625352315645,-0.31978732696006773
40,27007.740740314006,-0.408790460876844
41,27007.80777139389,1.5696431645392295
42,27010.880026643084,5.47641204665706
43,27018.760595487205,10.951507294084877
44,27032.783041231254,17.460001763151013
45,27053.680599013507,24.357111778541366
46,27081.497264788337,30.943517485715347
47,27115.567633984938,36.52054525623498
48,27154.538355300807,40.47263247563751
49,27196.512898936213,42.33780740467773
50,27239.213970110162,41.83920765012226
51,27280.191314236457,38.934961462464344
52,27317.08389303509,33.84781368986478
53,27347.886941616187,27.03295208673262
54,27371.149797208556,19.11706873611365
55,27386.121079088414,10.832597193937545
56,27392.81499159643,2.919427860299038
57,27391.959934809012,-3.965565448592315
58,27384.883860699247,-9.334323408103955
59,27373.291287992804,-12.901068600092913
60,27359.08172349906,-14.594651880899619
61,27344.101984231005,-14.54231808287841
62,27329.997087333304,-13.02282190220285
63,27318.0563404266,-10.421290612293888
64,27309.154506108716,-7.158872547654028
65,27303.73859533129,-3.647627106947766
66,27301.85925189482,-0.2600433331717795
67,27303.218508664948,2.692982510825459
68,27307.24521691647,4.981692763440151
69,27313.181894191828,6.467160698583029
70,27320.179538313638,7.095809638720311
71,27327.37351346927,6.904019111261732
72,27333.98757653616,6.0299086845534475
73,27339.433330838376,4.692124554345355
74,27343.371825644852,3.1711655641884136
75,27345.775661966753,1.7900411841401365
76,27346.951908013132,0.8567148818838177
77,27347.48909173052,0.6017515607691166
78,27348.15541113467,1.1279700697505177
79,27349.74503187002,2.365451601843233
80,27352.886314338357,4.071955655163038
81,27357.888943180347,5.871169292495324
82,27364.628652923348,7.31800353152903
83,27372.524950243405,7.993055880708198
84,27380.614764684764,7.6023932202569995
85,27387.72973668392,6.037247956281135
86,27392.689260597326,3.400472477893345
87,27394.530681639706,0.0021957755452604033
88,27392.693652148417,-3.7004850949087995
89,27387.12971144989,-7.186268956964341
90,27378.321114234488,-9.952959212543647
91,27367.2237930248,-11.58630372463449
92,27355.14850678522,-11.828277031774633
93,27343.567238961252,-10.613376116369182
94,27333.92175455248,-8.060275174620983
95,27327.44668861201,-4.45568823445501
96,27325.01037808357,-0.22827318375311734
97,27326.990142244504,4.114227887781453
98,27333.238833859134,8.053351135771663
